Milk yield,MASC,Protein,LAKT,ANPRENOS_ID_SEQ,RCT,A30,Breed
7,3.89,3.93,4.6,65088179,1.33,41.61,Rjava
9,4.45,3.81,4.68,65120507,1.12,46.49,Lisasta
0,4.46,3.51,4.66,65125183,1.72,43.93,Lisasta
19.2,2.73,2.91,4.57,65094251,2.22,36.14,Holstein
26.6,2.72,2.9,4.58,65094250,2.26,35.2,Holstein
11.8,4,3.43,4.54,65121884,0.73,49.61,Lisasta
3.8,4.18,3.69,4.07,65093602,2.35,32.81,Holstein
11,3.5,3.65,4.07,65107507,2.4,33.58,Holstein
12,4.08,2.94,4.74,65099455,2.3,37.55,Lisasta
12.2,4.38,3.27,4.53,65119809,1.71,42.91,Holstein
0,6.89,4.47,3.77,65126020,1.32,45.76,Rjava
3.4,5.14,4.04,4.45,65102515,0.3,49.07,Lisasta
4,4.01,3.63,4.04,65088362,2.95,30.33,Holstein
6.8,4.44,3.98,4.42,65097142,0.6,47.19,Lisasta
4.6,3.54,3.16,4.56,65101110,1.46,42.94,Lisasta
4.9,3.82,2.75,4.5,65085450,1.56,44.1,Holstein
0,5.48,4.23,3.97,65124559,0.35,48.05,Lisasta
6.4,5.72,4,4.27,65087865,1.86,40.27,Holstein
0,3.06,2.91,4.67,65125016,2.31,41.11,Holstein
7.8,4.83,4.12,4.49,65092341,0.22,43.7,Lisasta
1.5,4.59,4.68,3.66,65100745,2.42,30.77,Lisasta
4.8,3.19,3.86,4.64,65089955,1.41,39.36,Holstein
0,5.21,3.53,4.71,65122359,1.49,43.07,Lisasta
10,3.5,3.5,4.59,65104452,1.46,41.82,Lisasta
0,3.88,3.42,4.56,65125401,1.33,45.22,Lisasta
12.8,3.73,3.49,4.31,65089404,1.47,39.38,Lisasta
4,4.16,3.76,4.33,65091953,1.33,41.05,Lisasta
0,5.03,3.97,4.28,65125270,0.88,44.61,Lisasta
7.2,3.6,3.7,4.15,65096857,1.67,36.84,Lisasta
4.6,5.24,3.94,4.01,65094316,1.33,42.48,Lisasta
0,4.04,3.67,4.05,65124430,1.27,43.29,Lisasta
4.5,4.64,3.18,4.43,65119995,2.43,37.27,Lisasta
11.3,4.72,4.11,4.34,65107605,1.09,44.19,Rjava
7.4,3.33,3.18,4.46,65091285,1.39,41.75,Lisasta
4,4.76,3.52,4.73,65089219,1.34,43.3,Lisasta
0,5.35,3.64,4.62,65125794,1.17,44.97,Rjava
8.4,4.04,3.91,4.04,65115635,2.48,35.73,Rjava
14.4,3.61,3.13,4.58,65087866,2.34,38.48,Holstein
5.8,3.5,3.15,4.84,65087994,1.93,38.75,Lisasta
16.5,3.22,3.25,4.83,65088504,1.02,44.16,Lisasta
10,4.84,3.42,4.32,65105291,1.68,42.57,Lisasta
4.6,3.19,3.39,3.44,65105501,4.62,21.45,Lisasta
6.4,3.13,3.68,4.26,65088929,2.1,37.21,Rjava
8.2,3.74,2.89,4.63,65087867,1.35,44.29,Holstein
11.8,3.98,3.67,4.47,65088826,1.96,39.88,Lisasta
0,5.37,3.71,4.58,65125184,1,48.93,Lisasta
9,3.04,3.28,4.73,65119942,0.98,46,Lisasta
14.1,5.06,3.99,4.52,65085691,0.76,46.03,Holstein
2.2,3.67,3.76,4.81,65104650,0.19,47.47,Lisasta
9.5,3.74,3.75,3.89,65120243,3.76,24.55,Rjava
10.1,3.43,3.34,4.31,65117165,1.89,41.39,Lisasta
0,3.87,3.37,4.64,65125297,0.91,48.05,Lisasta
0,5.24,3.75,4.24,65124639,2.19,40.8,Holstein
16.4,3.77,2.89,4.34,65102326,3,34.91,Holstein
10.5,3.55,3.63,4.71,65087808,0,52.28,Lisasta
7.4,4.27,3.27,4.65,65089422,2.15,38.13,Lisasta
0,4.71,4.4,4.36,65124525,0.97,44.54,Lisasta
9.6,3.82,3.74,4.74,65088827,0.52,47.77,Lisasta
9.4,5.76,3.91,4.59,65116238,0.78,48.86,Rjava
8,4.39,3.28,4.63,65088950,2.39,36.55,Lisasta
6.5,5.2,4.11,4.48,65085898,0.57,47.41,Holstein
17.4,4.03,3.85,4.91,65105966,0.39,48.63,Lisasta
0,3.93,3.38,4.46,65126394,1.86,42.67,Holstein
0,4.41,4.77,3.84,65125564,0.84,42.07,Rjava
8,3.3,4.13,4.27,65096859,0.69,42.79,Lisasta
4,3.12,3.88,4.47,65105502,1.84,36.11,Lisasta
9.7,4.11,3.4,4.54,65100651,1.28,42.3,Rjava
4.4,4.24,3.25,4.72,65100849,1.96,39.44,Lisasta
10,3.54,3.64,4.48,65107508,0.98,45.02,Lisasta
3.9,3.92,3.73,4.07,65112245,3.1,31.11,Lisasta
5,3.17,2.88,4.65,65119914,2.06,41.75,Rjava
3.2,4.18,3.67,4.1,65087847,1.09,41.62,Holstein
11.7,3.03,3.21,4.73,65087963,1.47,41.09,Lisasta
3,2.96,4.01,2.31,65087964,9.52,0,Lisasta
8.6,4.63,3.18,4.32,65116824,1.82,41.59,Rjava
0,3.95,3.54,4.42,65122564,2.51,35.23,Holstein
5.6,4.18,3.45,4.67,65121885,1.93,42.5,Lisasta
5,4.46,2.87,4.3,65085451,2.04,41.12,Holstein
4,4.69,3.82,4.07,65088035,1.44,40.06,Rjava
13.2,3.63,2.72,4.56,65099329,2.35,38.01,Rjava
0,4.67,3.83,4.31,65125327,1.96,40.78,Rjava
5.6,4.09,4.09,4.48,65093604,0.75,41.24,Lisasta
4.2,4.75,3.64,4.21,65088021,2.26,35.8,Lisasta
0,4.51,3.83,4.54,65125795,0.75,48.19,Rjava
7.5,5.28,4.65,4.48,65115908,0,53.78,Rjava
7.5,3.73,2.97,4.62,65093693,1.5,38.84,Rjava
8.5,4.94,4.28,4.46,65121891,0,53.73,Lisasta
9.9,4.09,2.85,4.99,65116341,2.25,40.71,Lisasta
13.5,4.17,3.33,4.61,65094022,1.98,39.18,Rjava
0,4.41,4.42,4.76,65125434,0,50.94,Lisasta
0,3.56,3.37,4.62,65125459,1.24,44.82,Lisasta
8.1,3.19,2.84,4.71,65096756,1.76,41.86,Lisasta
5,4.36,3.8,4.32,65119418,1.79,40.26,Holstein
5.5,5.09,4.57,4.31,65101051,0.39,45.23,Lisasta
10,5.46,3.99,3.73,65112108,3.29,33.29,Lisasta
7,4.21,3.39,4.61,65088551,1.3,43.25,Lisasta
9.2,3.87,3.64,4.31,65107606,3.26,29.83,Lisasta
6.2,3.82,3.33,4.17,65091311,1.98,36.59,Lisasta
11.8,4.04,3.48,4.76,65089089,1.87,39.54,Lisasta
6,4.01,3.58,4.64,65102387,0.46,49.3,Rjava
11.2,4.71,3.87,4.15,65093932,1.08,44.04,Holstein
5.8,4.79,4.15,4.27,65104745,1.5,37.78,Holstein
10.5,3.93,3.18,4.61,65088180,0.9,44.37,Rjava
0,2.65,3.64,4.46,65125796,1.52,41.73,Rjava
8.6,3.99,3.6,3.48,65107487,1.94,36.26,Lisasta
12,4.61,3.45,4.26,65116406,2.66,35.99,Holstein
0,3.71,3.41,3.17,65125644,3.95,29.34,Holstein
4.4,4.73,4.66,4.17,65087848,0,47.14,Holstein
6.2,3.8,3.37,4.66,65119678,1.05,43.61,Rjava
7.8,4.1,3.77,4.25,65120008,1.74,40.6,Holstein
7.7,4.91,3.74,4.28,65100575,0.88,44.85,Lisasta
8.3,3.91,4.44,3.95,65097240,1.88,34.58,Lisasta
5.5,4.22,3.44,4.81,65121855,2.76,38.65,Lisasta
5.4,4.97,3.63,4.95,65116126,1.86,41.97,Lisasta
5.7,5.15,4.24,4.26,65117202,0.81,45.33,Lisasta
4.6,3.58,4.45,4.12,65105933,1.37,37.41,Rjava
7.4,3.52,3.44,4.67,65119367,1.86,40.09,Lisasta
0,4.63,3.53,4.38,65126331,2.4,39.17,Holstein
0,5.02,4.38,4.78,65122468,0,52.29,Rjava
6.5,4.87,4.42,4.32,65112109,0.48,48.2,Holstein
10,4.06,3.91,4.37,65088268,0.37,49.07,Holstein
9.1,4.35,4.06,4.63,65120480,0,53.29,Lisasta
6,2.83,3.8,3.85,65105954,2.85,30.95,Lisasta
5,3.94,3.83,4.1,65105588,2.86,32.29,Holstein
4.5,3.89,3.36,4.25,65085412,1.7,39.84,Holstein
0,3.92,3.28,4.48,65125738,0.86,48.02,Lisasta
4.5,5.19,5.18,4.37,65102516,0,50.85,Lisasta
4,4.74,3.75,4.07,65088036,1.32,41.93,Holstein
7.2,5.07,3.66,4.18,65100774,1.31,41.26,Rjava
4.5,4.23,3.1,4.47,65096911,1.86,38.88,Lisasta
7.9,1.91,3.22,4.59,65101118,1.96,39.54,Lisasta
11,4.41,3.08,4.49,65093518,1.86,38.14,Lisasta
14.6,4.17,3.03,4.58,65110497,1.32,44.66,Rjava
11.6,5.32,3.55,4.55,65115845,1,47.8,Lisasta
4.3,4.18,4.16,3.99,65102359,1.33,41.09,Lisasta
0,2.7,3.09,4.69,65122469,1.17,45.19,Holstein
8.2,3.93,3.99,4.49,65105823,0.36,47.7,Lisasta
4,4.23,3.61,4.3,65100775,0.76,45.92,Rjava
5,5.06,3.85,4.33,65104440,1.74,41.54,Lisasta
11.2,3.24,3.22,4.41,65091327,2.44,33.05,Lisasta
0,4.66,3.04,4.58,65126298,1.82,42.93,Lisasta
0,4.1,3.68,4.53,65125092,0.74,46.23,Lisasta
0,4.23,3.21,4.38,65126332,2.72,38.83,Holstein
8.3,3.19,2.91,4.49,65105706,2.48,38,Lisasta
17,2.66,3.14,4.56,65097285,2.37,36.49,Holstein
9,4.83,3.86,4.65,65099410,0.1,50.69,Lisasta
11.8,2.95,2.69,4.38,65104927,2.56,39.19,Holstein
9.2,4.86,3.56,4.65,65088205,0.84,47.21,Rjava
5.2,2.87,3.26,3.8,65093788,2.76,34.68,Holstein
3.6,6.19,4.39,3.95,65085370,0.57,45.35,Holstein
3.6,2.95,3.37,4.03,65119419,3.22,32,Holstein
4.6,4.84,3.84,3.94,65102568,3.16,30.22,Lisasta
9.9,3.4,3.33,4.57,65093802,1.89,40.46,Holstein
0,4.33,4.09,4.21,65125565,1.44,40.46,Rjava
10,4.04,2.78,4.92,65088930,2.44,37.69,Rjava
11.6,3.47,3.11,4.88,65085292,1.78,42.07,Holstein
0,5.07,4.75,4.53,65122360,0,48.72,Lisasta
3.6,4.42,4.19,4.3,65092222,0.97,41.39,Holstein
9.5,4.77,3.66,4.72,65085165,0.64,47.64,Lisasta
8,4.07,3.87,4.39,65097143,2.3,34.98,Lisasta
4.8,3.22,3.92,4.03,65105503,2.76,31.07,Lisasta
6.8,2.57,3.74,4.47,65105413,1.27,43.84,Lisasta
9,3.64,2.97,4.84,65116721,2.54,39.67,Lisasta
9.2,3.23,3.63,4.17,65091234,1.38,38.21,Rjava
4.5,4.42,3.84,4.23,65104670,1.49,40.35,Rjava
5,4.32,2.79,4.42,65091666,3.59,28.24,Holstein
26.1,3.15,2.99,4.86,65110725,1.88,41.67,Holstein
21.6,3.55,3.65,4.61,65097584,0.97,43.83,Holstein
5.3,4.96,3.55,4.35,65115235,2.81,35.46,Lisasta
3.4,4.05,3.61,4.03,65110909,2.15,37.86,Lisasta
11.7,3.84,3.62,4.18,65106200,2.12,39.08,Holstein
6,4.5,3.82,4.03,65116681,2.65,36.72,Holstein
5.2,3.3,3.48,4,65102388,2.31,37.79,Holstein
11.4,4.25,3.25,4.8,65088793,1.1,44.15,Lisasta
0,3.58,3.85,4.47,65126396,0.89,45.73,Lisasta
0,3.78,3.75,4.42,65125510,1.68,40.9,Lisasta
0,3.68,3.85,4.62,65122277,1.41,41.5,Lisasta
0,3.27,3.31,4.64,65122278,1.17,46.01,Lisasta
0,6.59,3.98,3.9,65125451,3.16,31.97,Lisasta
5.5,6.92,3.82,4.12,65119444,2.53,41.05,Lisasta
24.2,4.86,3.76,4.27,65105192,1.64,38.7,Holstein
10,3.26,3.2,3.89,65107608,3.24,31.84,Lisasta
13.8,2.32,3.39,4.4,65104486,3.05,31.9,Holstein
3.8,5.55,4.66,4.17,65101239,0,53.37,Lisasta
0,4.29,3.59,4.28,65124477,1.34,41.99,Lisasta
6,5.71,4.02,4.1,65091872,1,42.1,Rjava
0,5.78,4.23,3.78,65124767,1.69,41.86,Holstein
7,4.79,3.88,4.55,65101969,2.13,35.8,Lisasta
8,3.26,3.42,4.34,65099537,1.56,42.8,Lisasta
4.3,4.2,3.65,4.38,65089812,2.37,32.98,Lisasta
8,4.3,3.2,4.64,65117236,2.3,39.68,Holstein
12.9,4.8,3.68,4.45,65107433,1.52,42.75,Holstein
14,3.3,3.62,4.62,65107192,2.06,38.07,Lisasta
7.2,4.47,3.34,4.65,65088951,1.61,41.93,Lisasta
0,3.65,3.4,4.59,65124567,1.87,41.53,Lisasta
7.3,4.26,3.16,4.53,65119420,2.76,39.4,Holstein
0,4.44,3.92,3.89,65126333,3.1,31.67,Holstein
0,5.43,3.6,4.23,65125017,2.35,39.84,Holstein
10.7,3.76,4.1,4.15,65094035,1.46,37.43,Rjava
5,4.64,3.21,4.39,65110910,2.03,39.89,Lisasta
0,4.7,3.87,4.07,65122470,1.93,39.17,Rjava
0,5.98,3.81,4.54,65122361,0.85,47.96,Lisasta
0,4.48,4.1,4.16,65122574,1.12,44.33,Holstein
5.7,3.98,3.44,4.62,65111842,1.01,45.25,Lisasta
9.3,3.48,3.97,4.59,65091329,0.37,44.14,Lisasta
7.6,4.12,3.68,3.81,65085899,1.93,39.11,Holstein
9.4,4.27,3.44,3.91,65101080,2.91,31.88,Lisasta
10,4.5,3.97,4.65,65115749,1.44,41.31,Lisasta
3,4.44,3.49,4.48,65105590,1.48,42.08,Lisasta
11.8,4.22,3.96,4.58,65104787,0.31,50.89,Holstein
0,3.57,3.08,3.59,65125435,4.55,24.82,Lisasta
11.4,4.7,3.87,4.21,65110498,1.95,38.84,Rjava
10.4,3.24,2.84,4.52,65107695,3.36,31.16,Lisasta
10.6,3.96,3.47,4.55,65088288,1.63,39.86,Holstein
5.8,3.91,4.01,3.62,65102438,3.25,32.2,Holstein
5.4,4.36,4.48,3.85,65101970,1.13,38.91,Lisasta
8.6,3.55,3.34,4.64,65107564,2.46,35.71,Lisasta
8.5,4.5,3.39,4.43,65097479,1.14,42.31,Rjava
13.8,3.96,2.93,4.69,65100895,1.27,43.18,Rjava
0,3.45,3.75,4.4,65124478,0.05,48.66,Lisasta
3.6,5.07,4.21,4.35,65085328,1.26,40.15,Holstein
0,6.76,3.34,4.04,65126334,3.75,35.46,Holstein
13,3.45,3.31,4.49,65091108,2.27,34.9,Holstein
5.9,4.12,4.1,4.37,65093803,0.38,43.93,Lisasta
3,5.47,3.8,4.02,65116093,2.08,41.21,Holstein
5,2.65,3.4,3.91,65106254,3.77,28.57,Holstein
12.4,3.33,2.63,4.68,65100652,2.76,35.31,Holstein
4.6,4.72,3.96,4.48,65119996,0.35,48.74,Lisasta
5,4.36,3.93,4.69,65119787,0,52.5,Rjava
12,4.67,3.65,4.51,65119786,1.21,44.1,Holstein
5.3,3.51,2.97,4.36,65110911,2.82,35.36,Lisasta
10.4,4.53,3.64,4.8,65089531,0.72,44.52,Holstein
9.4,3.52,3.61,4.4,65107354,1.22,42.17,Lisasta
6.4,5.76,3.94,4.62,65088931,0.16,51.38,Rjava
7.6,3.82,3.44,4.36,65090751,1.69,36.59,Lisasta
7.2,4.59,4.25,4.02,65088506,1.27,40.5,Lisasta
10,4.99,3.34,4.51,65088505,2.06,40.2,Lisasta
9.3,4.38,3.38,4.63,65119421,1.92,42.29,Holstein
8.8,4.67,4.12,4.49,65096939,0,48.73,Lisasta
17.9,2.63,3.81,4.42,65120481,0,55.87,Lisasta
12.6,3.89,3.19,4.71,65087868,1.86,41.04,Holstein
6,4.99,3.56,4.56,65088311,1.03,46.76,Lisasta
5.8,4.79,3.51,4.41,65107251,1.67,42.26,Lisasta
0,5.37,3.84,4.5,65125680,1.26,44.24,Lisasta
12.2,4.46,3.78,4.36,65090967,1.23,41.29,Holstein
16.2,3.33,2.73,4.61,65102327,2.25,40.6,Holstein
8,3.47,2.91,4.78,65104652,1.65,41.56,Lisasta
10,5.44,4.45,4.35,65104603,0.37,47.04,Rjava
7,4.23,4.3,4.3,65104627,0.79,42.57,Holstein
10,4.82,3.41,4.73,65115247,2.23,39.95,Lisasta
15,3.87,3.35,3.86,65104699,3.05,32.88,Rjava
0,4.35,3.38,4.27,65122342,1.86,42.86,Lisasta
4,3.32,3.74,4.15,65112184,2.25,35.87,Holstein
0,4.06,3.25,4.6,65122621,1.56,41.8,Lisasta
12.2,2.82,2.57,4.61,65119868,2.91,36.82,Lisasta
11.5,4.48,3.71,4.6,65122017,1.6,44,Holstein
6.4,5.13,3.46,4.64,65094317,1.21,44.03,Lisasta
3.7,3.47,3.4,3.57,65087965,4.79,20.09,Lisasta
14.3,4.22,3.12,4.83,65093804,1.61,40.99,Holstein
2,3.31,3.81,3.65,65088037,2.03,36.06,Rjava
10.9,3.69,3.69,4.69,65088163,0.73,47.71,Rjava
6,4.67,3.61,4.22,65105504,2.01,37.99,Lisasta
0,5.16,4.04,4.06,65125281,2.85,34.05,Lisasta
9.8,5.41,3.15,4.64,65099371,1.33,44.41,Lisasta
12.2,3.62,3.5,4.8,65085234,1.01,46,Lisasta
4.3,3.21,4.33,4.83,65097124,0,50.05,Lisasta
8.4,3.06,3.12,4.74,65115364,2.22,36.36,Lisasta
6.8,4.69,3.78,4.25,65089787,1.5,39.47,Lisasta
4,3.47,3.53,4.31,65110593,2.04,38.99,Lisasta
8.6,3.95,3.87,4.68,65105934,0.91,43.5,Rjava
11.8,3.73,2.89,4.27,65090892,1.74,38.89,Lisasta
9,5.97,3.88,4.19,65097526,1.34,39.1,Rjava
9.8,3.94,3.49,4.33,65110543,1.46,42.01,Lisasta
11.4,4.04,3.32,4.89,65119788,0.89,47.46,Holstein
10.2,3.47,2.98,4.63,65085146,1.24,43.55,Lisasta
9.4,3.77,3.41,4.5,65085166,0.69,47.25,Lisasta
4.5,5.91,3.31,4.42,65104782,2.67,37.29,Holstein
15.8,3.72,3.01,4.93,65088681,1.64,43.02,Lisasta
0,4,3.26,3.55,65126066,6.83,7.86,Lisasta
10.2,3.77,3.92,4.53,65100576,0.42,46.75,Lisasta
0,4.28,3.36,4.96,65125402,1.26,45.9,Lisasta
5,3.87,3.63,3.93,65112110,3.78,28.9,Holstein
4.2,4.9,4.37,4.24,65105154,0.51,45.78,Lisasta
6.9,4.01,3.33,4.29,65091291,2.36,34.27,Lisasta
0,3.78,3.85,4.19,65125131,2.93,30.76,Lisasta
9.6,4.01,3.38,3.9,65089833,2.62,31.85,Lisasta
0,4.97,3.03,4.59,65125209,1.56,43.31,Lisasta
0,5.81,4.21,4.46,65122166,0.48,48.15,Lisasta
19.5,3.84,3.39,4.61,65115271,1.7,44.57,Holstein
5,4.34,3.81,3.82,65088597,2.75,31.46,Lisasta
15,3.03,3.06,4.52,65085255,1.22,42.52,Holstein
7.5,5.57,3.6,4.38,65117237,2.59,38.62,Holstein
4.4,5.55,4.66,4.29,65102517,0.38,45.82,Holstein
9.6,4.75,3.87,4.47,65097125,0,48.66,Lisasta
11.7,3.67,3.18,4.4,65115224,3.38,31.94,Lisasta
6,4.42,4.22,3.5,65100980,1.99,35.38,Lisasta
10,3.63,3.89,4.31,65085432,0.46,45.79,Rjava
11,5.07,2.99,4.71,65115248,2.83,38.36,Lisasta
0,4.68,3.09,4.67,65125461,1.92,42.4,Lisasta
0,4.04,3.47,4.28,65125487,1.36,43.06,Lisasta
4.4,4.44,3.75,3.69,65089902,3.67,20.56,Rjava
0,4.36,3.7,4.52,65126068,0.76,50.54,Lisasta
0,5.23,3.85,4.04,65088128,2.84,32.15,Holstein
5.6,4.58,3.73,4.3,65105537,1.9,37.95,Lisasta
8.8,4.03,3.79,4.43,65111878,0.36,48.92,Lisasta
7.6,5.94,4.71,4.03,65085130,0,52.35,Lisasta
7.2,3.24,2.92,4.84,65119685,1.72,42.09,Rjava
0,3.9,3.27,4.61,65125990,1.84,42.63,Holstein
8.5,3.72,3.58,4.1,65111806,2.41,36.01,Rjava
15.9,4.82,3.9,4.67,65089347,1.11,42.27,Holstein
13.4,3.22,3.33,4.7,65088727,1.97,39.14,Holstein
0,4.92,4.15,5.22,65124539,0,54.85,Lisasta
12.2,3.71,3.05,4.7,65087870,2.06,39.93,Lisasta
13.1,4.22,3.37,4.57,65100804,1.75,40.06,Holstein
0,4.84,2.82,4.36,65125298,3.53,33.32,Lisasta
6,4.31,3.91,4.55,65121857,1.3,46.28,Lisasta
13.4,4.08,2.99,4.4,65091132,1.92,39.3,Holstein
10,3.66,3.32,4.76,65089055,0.14,48.04,Rjava
10,3.79,3.06,4.4,65085148,2.86,33.33,Lisasta
6.8,6.63,4.06,4.41,65094278,0,53.68,Lisasta
6,4.4,4.21,4.24,65091405,0,50.06,Lisasta
5.2,4.46,4,4.06,65091053,1.34,40.35,Holstein
6.6,4.73,3.95,4.4,65116094,1.73,37.95,Lisasta
13,6.11,3.54,4.32,65101182,1.52,42.02,Holstein
12,5.02,3.67,4.44,65107609,1.02,45.66,Rjava
10,4.48,3.43,4.55,65110615,1.37,44.4,Holstein
5,5.23,2.9,4.6,65096912,2.21,40.11,Lisasta
8,5.17,3.43,4.44,65107735,1.99,41.82,Rjava
5.8,3.94,3.55,4.35,65105143,0.7,44.17,Rjava
0,4.33,4.18,4.02,65124768,1.4,40.99,Rjava
8.6,3.93,3.7,4.21,65107488,1.9,37.58,Rjava
14,3.81,3.07,4.56,65106255,2.11,38.49,Lisasta
0,4.67,3.53,4.27,65125712,1.35,44.31,Lisasta
12.7,4.67,3.41,4.62,65090752,0.54,44.13,Lisasta
14,5.36,3.08,4.67,65119841,2.05,43.41,Lisasta
8.5,4.37,3.67,4.62,65085147,1.83,40.56,Lisasta
13.6,2.64,3.25,4.61,65096860,1.34,41.97,Lisasta
6.8,3.97,3.18,5.21,65085530,1.1,44.28,Lisasta
6.1,4.71,4.34,4.53,65091328,0.83,39,Holstein
18.1,3.58,3.47,4.68,65089348,1.46,40.95,Holstein
12.2,5.71,3.66,4.38,65104700,1.57,42.28,Rjava
10.2,5.27,3.6,4.53,65116936,1.13,44.67,Rjava
21.6,3.96,3.74,4.67,65110726,1.05,46.19,Holstein
20,3.91,2.74,4.72,65097489,2.39,36.75,Holstein
0,5.26,3.98,4.5,65125797,1.54,42.42,Rjava
12,4.24,3.61,4.4,65116832,0.76,48.5,Rjava
10.6,4.33,3.61,4.24,65088270,1.68,41.21,Holstein
4.4,3.34,4.22,3.99,65091109,0.62,40.86,Rjava
11.2,4.62,3.27,4.74,65099608,1.18,43.16,Holstein
7,4.57,3.59,4.41,65107323,1.76,41.61,Lisasta
7.2,4.97,3.97,4.96,65099575,0,51.59,Lisasta
4.5,3.99,3.54,4.56,65088363,1.68,39.85,Holstein
6.8,3.63,3.32,4.46,65087914,1.4,41.05,Lisasta
0,3.61,3.33,4.81,65126335,2.15,43.14,Rjava
2.2,4.94,4.4,3.8,65107387,2.4,31.83,Holstein
11.4,4.03,3.85,4.33,65091811,2.08,33.61,Holstein
13.8,4.37,3.45,4.2,65097244,1.68,40.39,Holstein
7,4.62,3.32,4.53,65112185,0.71,47.95,Lisasta
6,4.69,2.93,4.61,65119445,3.35,34.62,Lisasta
