SEKVENCA,SIFRA,ZAPISNIK,DATUM_ZAP,ZAP_ST,DRZ_KRAVE,ST_KRAVE,KG_MLEKA,MASC,BELJ,LAKT,SS,NSS,CELICE,DAT_ANA,CAS_ANA,UREA,ANPRENOS_ID_SEQ,METODA,CAS_KON,VRSTICA,JE_SEQ,ZMRZISCE,AND_ID_SEQ,BHB,ACETON,OPOMBA,RCT,A30,PASMA,LETOROJ,MLEKOPV,BELJKGPV,MASCKGPV,BELJODSPV,MASCODSPV,ZAPTEL,DATTEL,Dat_Analiza,Dat_tel,DIM
1462344,15917,555593,2017-11-28,1,SI,22590921,6.2,3.53,3.07,4.72,8.5,0,653,2017-11-29,NA,0.008,65096754,0,2,NA,NA,0,6756,0,0,NA,1.4,43.8,Rjava,2002,97.7,97.5,110.7,101.9,98.5,10,05.06.2017,2017-11-28,2017-06-05,176
1466823,604,556315,2017-12-07,2,SI,32542790,5.4,4.63,3.53,4.2,8.43,0,1625,2017-12-07,NA,0.003,65121883,0,1,NA,NA,0,6791,0.04,0.03,NA,2.3,39.2,Lisasta,2003,86,84.1,105.6,81.8,87.3,11,22.05.2017,2017-12-06,2017-05-22,198
1476822,1622,555991,2017-12-01,1,SI,02593225,4.4,4.41,3.23,4.6,8.54,0,581,2017-12-05,NA,0.004,65110693,0,2,NA,NA,0,6775,0.07,0.04,NA,2.26,38.32,Holstein,2003,90.4,84.9,86.9,73.5,83.8,10,20.08.2015,2017-12-04,2015-08-20,837
1492906,82253,555654,2017-11-28,1,SI,02604590,5,4.31,4.25,3.73,8.69,0,867,2017-11-29,NA,0.006,65097551,0,2,NA,NA,0,6756,0.05,-0.09,NA,1.44,36.81,Lisasta,2002,89.3,89.6,107.1,100.9,92.8,10,04.02.2017,2017-11-28,2017-02-04,297
1518999,21260,555154,2017-11-21,1,SI,32637432,4,3.51,4.17,4.52,9.4,0,183,2017-11-23,NA,0.01,65085128,0,1,NA,NA,0,6747,0.02,0,NA,0,48.98,Lisasta,2003,89.6,88.8,93.2,90.8,87.3,13,20.12.2016,2017-11-22,2016-12-20,337
1533725,30103,556488,2017-12-05,1,SI,62744023,0,4.19,4.51,3.51,8.73,0,4495,2017-12-08,NA,0.02,65126018,0,1,NA,NA,0,6791,0,0,NA,2.39,33.76,Rjava,2003,79.6,85.5,109.6,107.4,84,8,12.08.2016,2017-12-07,2016-08-12,482
1563040,2264,556167,2017-12-06,1,SI,12746082,12.2,4.42,3.43,4.84,8.98,0,49,2017-12-06,NA,0.012,65116317,0,1,NA,NA,0,6780,0,0,NA,0.98,48.45,Rjava,2003,96.1,93.2,113.9,94.7,101.8,11,30.09.2017,2017-12-05,2017-09-30,66
1575388,20033,555831,2017-11-29,1,SI,42766159,8.2,4.85,3.68,4.59,8.99,0,105,2017-12-01,NA,0.013,65105290,0,2,NA,NA,0,6765,0.05,-0.02,NA,1.16,45.19,Lisasta,2003,113.5,116.4,115.4,101.9,121.8,11,12.04.2017,2017-11-30,2017-04-12,232
1634130,31629,556352,2017-12-06,1,SI,22870089,0,3.85,3.22,4.29,8.22,0,58,2017-12-08,NA,0.012,65122529,0,2,NA,NA,0,6791,0,0,NA,1.69,41.43,Holstein,2004,95.8,89,75.9,80.1,85.1,9,09.11.2016,2017-12-07,2016-11-09,393
1641565,13088,555869,2017-11-30,1,SI,72870761,8,2.96,3.51,4.26,8.48,0,240,2017-12-01,NA,0.016,65105932,0,1,NA,NA,0,6765,0,0,NA,1.78,38.72,Holstein,2004,92.9,97.4,88.2,105.7,86.9,10,25.03.2017,2017-11-30,2017-03-25,250
1645225,21336,555630,2017-11-27,1,SI,62823485,6.8,4.96,5.01,4.7,10.42,0,498,2017-11-29,NA,0.003,65097199,0,1,NA,NA,0,6756,0.23,0.06,NA,0,50.77,Lisasta,2004,78.1,81.6,91.5,113.6,76,11,16.10.2016,2017-11-28,2016-10-16,408
1656585,10260,556391,2017-12-05,1,SI,52869017,0,4.08,3.67,4.46,8.85,0,1968,2017-12-08,NA,0.006,65124754,0,1,NA,NA,0,6791,0,0,NA,1.31,43.43,Holstein,2004,87.8,82.1,77.3,72.9,77.8,9,23.04.2017,2017-12-07,2017-04-23,228
1660186,8146,555627,2017-11-28,1,SI,92825697,3.6,4.04,3.34,4.24,8.28,0,40,2017-11-29,NA,0.006,65097167,0,1,NA,NA,0,6756,0,0,NA,0.87,46.51,Lisasta,2004,85,81.5,96.2,64.8,84.3,10,26.06.2017,2017-11-28,2017-06-26,155
1660603,7360,556357,2017-12-07,1,SI,12826940,0,4.33,3.24,4.61,8.56,0,985,2017-12-08,NA,0.019,65122620,0,2,NA,NA,0,6791,0,0,NA,1.93,40.58,Lisasta,2004,103.1,103.9,99.3,97.4,101.9,10,23.10.2017,2017-12-07,2017-10-23,45
1666202,10862,555694,2017-11-27,1,SI,52847804,2.8,4.75,3.75,4.22,8.68,0,228,2017-11-30,NA,0.022,65100773,0,2,NA,NA,0,6762,0,0,NA,0.64,43.32,Rjava,2004,99.4,103.2,82.2,105.4,92.1,10,10.10.2016,2017-11-29,2016-10-10,415
1667485,30199,555908,2017-11-28,1,SI,82847791,2.5,4.84,4.24,4.59,9.54,0,2243,2017-12-04,NA,0.028,65107215,0,2,NA,NA,0,6771,0.08,0.01,NA,0.23,49.48,Rjava,2004,82.1,90.2,112.5,112.1,87.7,9,20.06.2016,2017-12-03,2016-06-20,531
1691995,8458,555710,2017-11-28,1,SI,62877240,3.6,1.57,3.49,4.91,9.12,0,82,2017-11-30,NA,0.003,65100984,0,2,NA,NA,0,6762,0,0,NA,0.98,44.28,Holstein,2004,95.2,98.7,100.7,102.8,98.9,7,01.02.2017,2017-11-29,2017-02-01,301
1717558,29184,555364,2017-11-24,1,SI,62882127,0,4.71,3.93,4.5,9.13,0,168,2017-11-24,NA,0.009,65089648,0,2,NA,NA,0,6750,0.05,-0.05,NA,0.03,48.02,Lisasta,2004,88,93.8,113.2,113.9,91.8,8,08.08.2017,2017-11-23,2017-08-08,107
1744755,1384,555222,2017-11-23,2,SI,82941280,8.4,3.51,2.93,4.67,8.31,0,1256,2017-11-24,NA,0.02,65088007,0,1,NA,NA,0,6747,0,0,NA,2.38,36.65,Lisasta,2004,100.9,99.4,82.8,89.4,93.7,11,12.07.2017,2017-11-23,2017-07-12,134
1753328,6748,555743,2017-11-28,1,SI,62947831,9.8,3.71,3.52,4.53,8.76,0,89,2017-11-30,NA,0.013,65102358,0,2,NA,NA,0,6765,0,0,NA,1.78,42.52,Lisasta,2004,91.9,92.5,91.5,90.2,89.5,10,21.11.2017,2017-11-29,2017-11-21,8
1758853,15951,555377,2017-11-24,1,SI,52923081,9.4,4.52,3.96,4.44,9.12,0,223,2017-11-24,NA,0.032,65089930,0,1,NA,NA,0,6750,-0.02,-0.11,NA,0,47.61,Lisasta,2004,99,101,107.8,111.6,102.8,10,20.06.2017,2017-11-23,2017-06-20,156
1774037,15951,555377,2017-11-24,2,SI,32977501,11.5,4.13,3.38,4.42,8.5,0,7410,2017-11-24,NA,0.022,65089931,0,1,NA,NA,0,6750,0.06,-0.04,NA,1.74,38.52,Lisasta,2004,107.6,98.9,95.4,75.3,105.7,9,10.11.2017,2017-11-23,2017-11-10,13
1775569,10930,556039,2017-12-02,1,SI,92970601,2.7,4.36,3.82,4.11,8.64,0,12073,2017-12-05,NA,0.014,65111827,0,2,NA,NA,0,6775,0,0,NA,2.74,32.7,Rjava,2004,91.1,90.9,95,98.1,90.3,9,17.03.2017,2017-12-04,2017-03-17,262
1778309,32150,556476,2017-12-07,1,SI,02956323,0,3.82,3.4,4.84,8.95,0,17,2017-12-08,NA,0.023,65125755,0,1,NA,NA,0,6791,0,-0.01,NA,1.04,47.34,Lisasta,2004,99,94.6,87.4,78.3,93.8,9,19.06.2017,2017-12-07,2017-06-19,171
1778340,5448,555538,2017-11-26,1,SI,42950756,6.5,4.12,3.91,4.63,9.25,0,225,2017-11-28,NA,0.015,65093801,0,1,NA,NA,0,6753,0,-0.09,NA,0.65,45.36,Lisasta,2004,145.6,145,85,99,132.4,9,02.12.2016,2017-11-27,2016-12-02,360
1788255,10671,556240,2017-12-04,1,SI,02948948,6.8,3.43,2.93,4.51,8.15,0,582,2017-12-07,NA,0.01,65119697,0,2,NA,NA,0,6784,0,0,NA,2.95,35.2,Lisasta,2004,109.6,109.8,91.4,90.8,107.1,8,16.10.2017,2017-12-06,2017-10-16,51
1790787,11472,555969,2017-12-04,1,SI,42979612,10,3.93,3.36,4.58,8.65,0,671,2017-12-04,NA,0.014,65107963,0,1,NA,NA,0,6771,0,0,NA,2.46,39.44,Lisasta,2005,104.1,102.9,86.3,88.2,97.6,10,29.05.2017,2017-12-03,2017-05-29,188
1795291,11549,555398,2017-11-24,1,SI,02986856,7.8,4.31,4.22,4.44,9.37,0,60,2017-11-27,NA,0.022,65090907,0,1,NA,NA,0,6750,0,0,NA,0.16,45.79,Lisasta,2005,99.3,101.2,97.2,119.5,97.2,8,14.05.2017,2017-11-26,2017-05-14,196
1796980,9212,555221,2017-11-22,1,SI,92981838,5.5,3.83,3.28,4.59,8.58,0,256,2017-11-24,NA,0.025,65087993,0,2,NA,NA,0,6747,0,0,NA,2,38.91,Lisasta,2005,104.1,102.6,81.9,83.5,97.2,9,24.05.2017,2017-11-23,2017-05-24,183
1804207,31673,555417,2017-11-24,1,SI,63002603,9,4.62,3.29,4.74,8.74,0,117,2017-11-27,NA,0.012,65091284,0,1,NA,NA,0,6750,0,0,NA,0.81,44.25,Lisasta,2005,86.8,85.9,97.5,90.3,87.1,11,05.11.2017,2017-11-26,2017-11-05,21
1807231,1520,555158,2017-11-21,1,SI,92982334,7.8,3.7,3.57,4.66,8.94,0,233,2017-11-23,NA,0.015,65085201,0,1,NA,NA,0,6747,0,0,NA,0,54.6,Rjava,2005,99.8,104.4,100.3,105.1,101.2,10,12.11.2017,2017-11-22,2017-11-12,10
1813011,8146,555627,2017-11-28,2,SI,92986455,6,2.86,2.97,5.03,8.71,0,35,2017-11-29,NA,0.004,65097168,0,1,NA,NA,0,6756,0,0,NA,1.21,44.29,Lisasta,2005,88.9,87.9,85,78.2,84.7,11,28.07.2017,2017-11-28,2017-07-28,123
1817891,15631,556468,2017-12-06,1,SI,03032077,0,4.89,3.39,4.81,8.91,0,52,2017-12-08,NA,0.009,65125563,0,2,NA,NA,0,6791,0,0,NA,1.01,46.13,Rjava,2005,91.5,93.1,96.2,113.8,91,11,03.10.2017,2017-12-07,2017-10-03,65
1819370,21248,555421,2017-11-24,1,SI,92990393,10.1,3.28,3.32,4.15,8.18,0,4326,2017-11-27,NA,0.033,65091309,0,1,NA,NA,0,6750,0,0,NA,2.72,32.76,Lisasta,2005,109.7,109.8,92.1,104.7,104.6,11,22.07.2017,2017-11-26,2017-07-22,127
1820644,2839,555926,2017-12-04,1,SI,52988200,5.8,4.07,3.92,3.88,8.51,0,3704,2017-12-04,NA,0.003,65107422,0,1,NA,NA,0,6771,0.09,-0.07,NA,2.96,30.35,Lisasta,2005,108.8,111.5,101.2,98.7,109.4,9,16.06.2016,2017-12-03,2016-06-16,535
1821726,10850,556093,2017-12-05,1,SI,12981692,8.8,2.68,2.78,4.57,8.06,0,91,2017-12-06,NA,0.016,65115667,0,1,NA,NA,0,6780,0.04,-0.01,NA,1.93,40.68,Rjava,2005,102.4,101.4,85.8,85.4,97.3,9,20.07.2017,2017-12-05,2017-07-20,138
1824603,1622,555991,2017-12-01,2,SI,12993208,3.4,5.81,4.22,4.57,9.5,0,633,2017-12-05,NA,0.006,65110694,0,2,NA,NA,0,6775,0.17,0.04,NA,0,50.92,Lisasta,2005,97.4,97.1,110.3,93.1,101.4,8,11.06.2016,2017-12-04,2016-06-11,541
1828780,8163,556044,2017-12-04,1,SI,82993050,4.6,4.15,4.26,4.15,9.12,0,735,2017-12-05,NA,0.025,65111869,0,2,NA,NA,0,6775,0,0,NA,1.18,40.81,Lisasta,2005,99,96.9,88,87.1,94.9,9,18.03.2017,2017-12-04,2017-03-18,261
1843598,10352,555290,2017-11-24,1,SI,92995336,5,5.23,4.58,4.46,9.75,0,111,2017-11-24,NA,0.009,65088550,0,2,NA,NA,0,6747,0,0,NA,0,51.34,Lisasta,2005,76.4,76.2,95.5,90,75.5,8,01.06.2016,2017-11-23,2016-06-01,540
1938016,4505,556490,2017-12-07,1,SI,43036259,0,5.09,3.74,4.18,8.64,0,257,2017-12-08,NA,0.001,65126054,0,1,NA,NA,0,6791,0,0,NA,1.95,38.95,Lisasta,2005,96.3,101.6,98,102.5,96.4,8,30.07.2017,2017-12-07,2017-07-30,130
1945826,30728,555947,2017-12-01,1,SI,63038802,8.8,4.17,3.42,4.23,8.36,0,2128,2017-12-04,NA,0.014,65107563,0,2,NA,NA,0,6771,0.13,0.06,NA,3.16,29.08,Lisasta,2005,112.1,108.4,87.6,85.1,106.3,10,11.03.2017,2017-12-03,2017-03-11,267
1947296,10850,556093,2017-12-05,2,SI,23038387,9.2,3.92,2.89,4.48,8.08,0,203,2017-12-06,NA,0.017,65115668,0,1,NA,NA,0,6780,0.08,-0.01,NA,2.13,38.22,Rjava,2005,103.6,105.3,90.7,91.3,101.7,9,27.07.2017,2017-12-05,2017-07-27,131
1953644,20022,555453,2017-11-27,1,SI,93043339,8.1,3.09,2.85,4.11,7.68,0,689,2017-11-27,NA,0.001,65091403,0,1,NA,NA,0,6750,0.05,-0.05,NA,2.46,34.13,Lisasta,2005,90.9,84.2,84.6,69.4,84.5,10,28.09.2017,2017-11-26,2017-09-28,59
1954823,24244,555852,2017-10-30,1,SI,33041962,6,4.98,4.1,3.68,8.49,0,754,2017-12-01,NA,0.013,65105536,0,1,NA,NA,0,6765,0,0,NA,1.46,39.55,Lisasta,2005,87.3,88.2,92.3,88.5,85.2,8,26.06.2017,2017-11-30,2017-06-26,157
1959346,30103,556488,2017-12-05,2,SI,63013373,0,4.04,3.94,2.14,6.79,0,8733,2017-12-08,NA,0.007,65126019,0,1,NA,NA,0,6791,0,0,NA,7.03,8.5,Rjava,2005,86,87.3,96.4,85.8,89.4,6,10.06.2016,2017-12-07,2016-06-10,545
1959688,11057,555312,2017-11-23,1,SI,63013270,5,5.11,4.45,4.21,9.38,0,181,2017-11-24,NA,0.019,65088716,0,2,NA,NA,0,6747,0,0,NA,0.17,48.97,Rjava,2005,138.4,138.8,106.8,106.8,140.5,9,07.10.2016,2017-11-23,2016-10-07,412
1960642,24533,555228,2017-11-22,1,SI,23043374,4,4.46,3.49,4.32,8.51,0,1999,2017-11-24,NA,0.016,65088084,0,1,NA,NA,0,6747,0,0,NA,2.47,37.25,Lisasta,2005,79.2,81.4,103.4,91.9,80.5,9,22.05.2017,2017-11-23,2017-05-22,185
1962055,3907,555887,2017-12-01,1,SI,03014064,12,3.22,3.47,4.26,8.44,0,854,2017-12-01,NA,0.017,65106340,0,1,NA,NA,0,6771,0,0,NA,1.69,39.07,Lisasta,2005,104.1,109.1,108.6,117.5,109.6,10,15.06.2017,2017-11-30,2017-06-15,168
1964243,32101,556179,2017-12-05,1,SI,93013129,8.6,5.59,4.02,4.67,9.4,0,432,2017-12-06,NA,0.014,65116478,0,2,NA,NA,0,6780,0,0,NA,0,52.98,Lisasta,2005,88.9,89.9,96.1,106.5,89.8,10,20.04.2017,2017-12-05,2017-04-20,229
1965407,4141,556232,2017-12-06,1,SI,03013582,3.5,4.19,4.11,4.12,8.94,0,122,2017-12-07,NA,0.012,65119451,0,1,NA,NA,0,6784,0,0,NA,1.53,41.09,Lisasta,2005,101.8,97.3,86.2,72.5,95.7,8,17.06.2016,2017-12-06,2016-06-17,537
1968619,32717,555330,2017-11-23,1,SI,23039632,4.4,5.45,4.08,4.5,9.29,0,187,2017-11-24,NA,0.016,65089054,0,1,NA,NA,0,6747,0.06,-0.02,NA,0.62,46.29,Rjava,2005,95.3,104.2,116.1,118,104.6,9,04.12.2016,2017-11-23,2016-12-04,354
1972227,30150,556221,2017-12-05,1,SI,93042390,6.7,3.43,3.46,4.41,8.58,0,197,2017-12-06,NA,0.028,65117228,0,1,NA,NA,0,6784,0,0,NA,1.32,45.6,Lisasta,2005,91.2,88.6,71.5,75.2,82.9,10,23.06.2017,2017-12-05,2017-06-23,165
1974033,20000,555249,2017-11-21,1,SI,13045195,5.4,5.22,3.62,4.27,8.6,0,507,2017-11-24,NA,0.004,65088310,0,2,NA,NA,0,6747,0.07,-0.02,NA,1.77,39.22,Lisasta,2005,92.3,93.9,90.7,102.4,89.5,9,20.06.2017,2017-11-23,2017-06-20,156
1974996,16082,555864,2017-11-29,1,SI,13082198,5.5,4.05,3.92,4.17,8.8,0,923,2017-12-01,NA,0.021,65105822,0,2,NA,NA,0,6765,0.05,-0.04,NA,1.76,37.72,Lisasta,2005,118.2,120.9,79.4,108.8,106.8,10,22.11.2016,2017-11-30,2016-11-22,373
1977034,8976,555157,2017-11-17,1,SI,82915809,8,3.89,3.57,4.84,9.11,0,75,2017-11-23,NA,0.015,65085185,0,2,NA,NA,0,6747,0,0,NA,0.15,48.74,Rjava,2005,96.1,98.7,77.7,95.4,91.2,9,02.11.2017,2017-11-22,2017-11-02,20
1991343,22267,556254,2017-12-04,1,SI,53048204,12.9,4.8,3.65,4.53,8.89,0,303,2017-12-07,NA,0.015,65119966,0,2,NA,NA,0,6784,0,0,NA,1.72,39.17,Lisasta,2005,105.5,106,95.5,101.8,104.2,10,02.06.2017,2017-12-06,2017-06-02,187
1991574,7777,555745,2017-11-27,2,SI,53077839,6,2.91,3.18,4.56,8.45,0,125,2017-11-30,NA,0.024,65102386,0,2,NA,NA,0,6765,0,0,NA,0.82,46.76,Rjava,2005,108.2,103.8,73.9,83.6,97.4,8,20.07.2017,2017-11-29,2017-07-20,132
1992840,665,555911,2017-11-30,1,SI,03046180,7.5,4.07,3.39,4.7,8.8,0,18,2017-12-04,NA,0.011,65107250,0,2,NA,NA,0,6771,-0.02,-0.05,NA,1.49,45.15,Holstein,2005,103.3,105.7,106.8,101.9,107.5,8,25.10.2017,2017-12-03,2017-10-25,39
1993739,86,555236,2017-11-21,1,SI,83080364,7,3.89,3.93,4.6,9.24,0,240,2017-11-24,NA,0.018,65088179,0,2,NA,NA,0,6747,0,0,NA,1.33,41.61,Rjava,2005,93.1,98.1,108.7,119.2,95.9,8,14.03.2017,2017-11-23,2017-03-14,254
1994795,9493,556313,2017-12-06,1,SI,13049591,9,4.45,3.81,4.68,9.19,0,47,2017-12-07,NA,0.033,65120507,0,1,NA,NA,0,6784,-0.01,-0.09,NA,1.12,46.49,Lisasta,2005,108.6,116.5,110.6,124.5,115.2,10,05.06.2017,2017-12-06,2017-06-05,184
1998071,3220,556433,2017-12-07,1,SI,23046690,0,4.46,3.51,4.66,8.89,0,97,2017-12-08,NA,0.021,65125183,0,1,NA,NA,0,6791,0,0,NA,1.72,43.93,Lisasta,2005,111.4,110.2,97,94.4,108.8,10,22.05.2017,2017-12-07,2017-05-22,199
2003627,7137,555579,2017-11-28,2,SI,33837714,19.2,2.73,2.91,4.57,8.19,0,280,2017-11-28,NA,0.023,65094251,0,1,NA,NA,0,6753,0,-0.06,NA,2.22,36.14,Holstein,2005,121.5,107.8,61.7,81.5,76.5,10,29.10.2017,2017-11-27,2017-10-29,29
2003627,7137,555579,2017-11-28,1,SI,83052637,26.6,2.72,2.9,4.58,8.19,0,277,2017-11-28,NA,0.022,65094250,0,1,NA,NA,0,6753,0.02,-0.03,NA,2.26,35.2,Holstein,2005,121.5,107.8,61.7,81.5,76.5,10,29.10.2017,2017-11-27,2017-10-29,29
2007993,604,556315,2017-12-07,3,SI,43052435,11.8,4,3.43,4.54,8.68,0,1036,2017-12-07,NA,0.008,65121884,0,1,NA,NA,0,6791,0.04,0.03,NA,0.73,49.61,Lisasta,2005,85.6,86.8,95.2,96.4,84.4,10,30.11.2017,2017-12-06,2017-11-30,6
2008491,5603,555514,2017-11-23,1,SI,43048360,3.8,4.18,3.69,4.07,8.47,0,273,2017-11-28,NA,0.018,65093602,0,2,NA,NA,0,6753,0.07,-0.04,NA,2.35,32.81,Holstein,2005,109.7,103.8,86,75.1,102.9,6,26.03.2016,2017-11-27,2016-03-26,611
2009622,11154,555944,2017-12-04,1,SI,43092424,11,3.5,3.65,4.07,8.43,0,202,2017-12-04,NA,0.024,65107507,0,1,NA,NA,0,6771,0.05,-0.03,NA,2.4,33.58,Holstein,2005,105.1,105.4,84.8,99.3,96.5,8,23.11.2016,2017-12-03,2016-11-23,375
2017103,30942,555667,2017-11-27,1,SI,03086997,12,4.08,2.94,4.74,8.39,0,195,2017-11-29,NA,0.009,65099455,0,1,NA,NA,0,6762,0,0,NA,2.3,37.55,Lisasta,2005,101.6,101.5,79.9,87.9,93.5,10,05.09.2017,2017-11-28,2017-09-05,84
2025809,15724,556245,2017-12-06,1,SI,43090295,12.2,4.38,3.27,4.53,8.51,0,36,2017-12-07,NA,0.017,65119809,0,1,NA,NA,0,6784,0,0,NA,1.71,42.91,Holstein,2005,98.1,107.6,104,119.4,104.6,9,29.09.2017,2017-12-06,2017-09-29,68
2026139,30103,556488,2017-12-05,3,SI,93089836,0,6.89,4.47,3.77,8.95,0,4825,2017-12-08,NA,0.018,65126020,0,1,NA,NA,0,6791,0,0,NA,1.32,45.76,Rjava,2005,84.8,88.5,112.5,93.9,92.3,6,31.03.2017,2017-12-07,2017-03-31,251
2029845,11009,555752,2017-11-28,2,SI,33092470,3.4,5.14,4.04,4.45,9.21,0,184,2017-11-30,NA,0.01,65102515,0,1,NA,NA,0,6765,0,0,NA,0.3,49.07,Lisasta,2005,91.6,90.2,85.3,79.8,88,5,20.11.2015,2017-11-29,2015-11-20,740
2031526,30592,555279,2017-11-21,1,SI,23080803,4,4.01,3.63,4.04,8.38,0,3265,2017-11-24,NA,0.007,65088362,0,1,NA,NA,0,6747,0,0,NA,2.95,30.33,Holstein,2005,93.2,98.8,94.1,104.6,93.5,8,01.05.2016,2017-11-23,2016-05-01,571
2032145,2129,555626,2017-11-29,1,SI,83094288,6.8,4.44,3.98,4.42,9.11,0,695,2017-11-29,NA,0.014,65097142,0,1,NA,NA,0,6756,0,0,NA,0.6,47.19,Lisasta,2005,103.7,109.5,101.4,118.6,102.1,10,04.07.2017,2017-11-28,2017-07-04,147
2032667,31494,555734,2017-11-24,1,SI,83079780,4.6,3.54,3.16,4.56,8.43,0,156,2017-11-30,NA,0.007,65101110,0,1,NA,NA,0,6762,0,0,NA,1.46,42.94,Lisasta,2005,83.9,78.6,80.6,64.8,77.7,10,12.04.2017,2017-11-29,2017-04-12,231
2039791,37688,555182,2017-11-22,1,SI,53167514,4.9,3.82,2.75,4.5,7.96,0,45,2017-11-23,NA,0.009,65085450,0,1,NA,NA,0,6747,0,0,NA,1.56,44.1,Holstein,2005,82.7,88,91.8,98.4,82.7,7,11.08.2017,2017-11-22,2017-08-11,103
2041645,3170,556374,2017-12-06,1,SI,13094450,0,5.48,4.23,3.97,8.9,0,1196,2017-12-08,NA,0.006,65124559,0,2,NA,NA,0,6791,0,0,NA,0.35,48.05,Lisasta,2005,96,97,108.1,100.4,98.2,9,25.02.2017,2017-12-07,2017-02-25,285
2047641,3736,555214,2017-11-23,1,SI,93109185,6.4,5.72,4,4.27,8.97,0,722,2017-11-24,NA,0.015,65087865,0,1,NA,NA,0,6747,0,0,NA,1.86,40.27,Holstein,2005,92,96.5,126.9,109.8,114.1,8,20.10.2016,2017-11-23,2016-10-20,399
2047971,6463,556421,2017-12-08,1,SI,23095168,0,3.06,2.91,4.67,8.3,0,24,2017-12-08,NA,0.029,65125016,0,1,NA,NA,0,6791,-0.03,-0.05,NA,2.31,41.11,Holstein,2005,122.7,120.2,79.7,95.6,101.1,8,14.09.2017,2017-12-07,2017-09-14,84
2053032,2032,555494,2017-11-27,1,SI,73168740,7.8,4.83,4.12,4.49,9.33,0,1665,2017-11-27,NA,0.007,65092341,0,1,NA,NA,0,6753,0,0,NA,0.22,43.7,Lisasta,2005,94.1,95,119.1,108.2,102.4,10,15.08.2017,2017-11-26,2017-08-15,103
