Herd1 Herd2 SumA
136 20 92 33182.67042
137 20 63 27844.285337
138 20 53 14624.207078
139 20 41 14896.035988
140 20 71 12657.16606
141 20 62 15204.894137
142 20 90 20286.201816
143 20 26 11123.110366
144 20 59 13961.841593
145 20 15 11861.212701
146 20 9 20447.32832
147 20 36 19256.210086
148 20 1 21994.724342
149 20 51 20331.704247
150 20 25 13364.749428
151 20 94 12882.804378
152 20 43 18920.901491
153 20 27 15663.427927
154 20 88 20656.454302
155 20 57 20380.328253
156 20 56 20421.871149
157 20 21 10483.909233
158 20 97 11771.764419
159 20 76 19586.876144
160 20 11 25218.355733
161 20 3 17300.307728
162 20 86 23119.338095
163 20 18 23333.872706
164 20 49 20601.41408
165 20 55 22344.186645
166 20 70 22514.693814
167 20 80 13990.493401
168 20 69 18689.815568
169 20 95 10480.814157
170 20 64 19718.531638
171 20 8 14987.261395
172 20 74 12299.03169
173 20 32 21208.256467
174 20 83 11638.778099
175 20 29 22748.070883
176 20 93 13449.409136
177 20 72 16736.450185
178 20 100 15996.804832
179 20 99 15560.6472
180 20 22 15248.118845
181 20 58 17824.292533
182 20 96 22184.102592
183 20 17 16812.000644
184 20 10 14147.607481
185 20 6 18749.579646
186 20 4 10613.601555
187 20 5 10240.779598
188 20 79 16467.906231
189 20 38 20262.450336
190 20 54 13020.853803
191 20 47 15831.508785
192 20 52 14974.470375
193 20 50 33272.33021
194 20 16 20247.020049
195 20 85 28588.359115
196 20 45 44869.613291
197 20 44 23866.424658
198 20 31 24319.451763
199 20 2 19451.572577
200 20 84 27458.217682
201 20 23 18956.078996
202 12 82 40839.09819
203 12 20 22188.722267
204 12 12 6752.258751
205 12 60 20469.13195
206 12 24 15120.864825
207 12 98 17016.892336
208 12 37 31574.262166
209 12 19 28470.262993
210 12 28 24399.262182
211 12 35 17115.060835
212 12 48 20759.538555
213 12 14 15511.730461
214 12 30 21245.581158
215 12 67 15623.533171
216 12 33 20186.291748
217 12 42 17884.710916
218 12 87 13699.26846
219 12 65 20247.879667
220 12 77 40130.171684
221 12 75 17649.046034
222 12 78 25829.524856
223 12 13 25844.129863
224 12 73 31479.530369
225 12 34 23696.444009
226 12 39 15544.840116
227 12 89 15283.134442
228 12 81 18184.867693
229 12 68 22062.78091
230 12 40 16234.43384
231 12 91 15145.782968
232 12 66 16508.010394
233 12 61 25047.022532
234 12 7 16280.947085
235 12 46 22535.636048
236 12 92 38699.239164
237 12 63 32918.761424
238 12 53 18359.120621
239 12 41 18659.80874
240 12 71 16140.927699
241 12 62 19015.53689
242 12 90 24649.324833
243 12 26 14403.316646
244 12 59 17617.71906
245 12 15 15250.887405
246 12 9 24823.125914
247 12 36 23507.729182
248 12 1 26518.669088
249 12 51 24689.880691
250 12 25 16939.614513
251 12 94 16401.870438
252 12 43 23133.92302
253 12 27 19519.397048
254 12 88 25050.622401
255 12 57 24748.263251
256 12 56 24792.256844
257 12 21 13676.629699
258 12 97 15144.026865
259 12 76 23871.12222
260 12 11 30054.942981
261 12 3 21342.06696
262 12 86 27752.452661
263 12 18 27983.323547
264 12 49 24996.513669
265 12 55 26910.443222
266 12 70 27086.500974
267 12 80 17642.313522
268 12 69 22880.106666
269 12 95 13673.283258
270 12 64 24013.795446
271 12 8 18759.909996
272 12 74 15738.961549
273 12 32 25659.156355
274 12 83 15000.807046
275 12 29 27346.935722
276 12 93 17034.099509
277 12 72 20714.825513
278 12 100 19888.500303
279 12 99 19400.690094
280 12 22 19060.334993
281 12 58 21916.414353
282 12 96 26726.144824
283 12 17 20801.70448
284 12 10 17815.988507
285 12 6 22946.450802
286 12 4 13826.263453
287 12 5 13396.284985
288 12 79 20414.587427
289 12 38 24616.988576
290 12 54 16556.781186
291 12 47 19703.405877
292 12 52 18746.888864
293 12 50 38793.155367
294 12 16 24608.735556
295 12 85 33721.444353
296 12 45 51250.143391
297 12 44 28579.135406
298 12 31 29075.969612
299 12 2 23727.621922
300 12 84 32489.979222
301 12 23 23182.20284
302 60 82 33028.679347
303 60 20 16510.950318
304 60 12 20469.13195
305 60 60 3820.771155
306 60 24 10540.324915
307 60 98 12096.385436
308 60 37 24774.08734
309 60 19 21991.624166
310 60 28 18416.553725
311 60 35 12182.734514
312 60 48 15293.807952
313 60 14 10818.411704
314 60 30 15706.351457
315 60 67 10953.797112
316 60 33 14797.093469
317 60 42 12810.973057
318 60 87 9317.617053
319 60 65 14853.421498
320 60 77 32370.84264
321 60 75 12639.513773
322 60 78 19683.968255
323 60 13 19697.864229
324 60 73 24694.459456
325 60 34 17824.946824
326 60 39 10885.783847
327 60 89 10663.241234
328 60 81 13108.233528
329 60 68 16422.934076
330 60 40 11454.558313
331 60 91 10559.341107
332 60 66 11690.68369
333 60 61 18999.948134
334 60 7 11503.171679
335 60 46 16822.232004
336 60 92 31131.901477
337 60 63 25961.156708
338 60 53 13275.950555
339 60 41 13502.651439
340 60 71 11389.816571
341 60 62 13806.18324
342 60 90 18666.059673
343 60 26 9933.21436
344 60 59 12634.223904
345 60 15 10632.168303
346 60 9 18813.365734
347 60 36 17676.957703
348 60 1 20322.610062
349 60 51 18706.4633
350 60 25 12068.229085
351 60 94 11605.891446
352 60 43 17370.555586
353 60 27 14254.18231
354 60 88 19021.731915
355 60 57 18775.444925
356 60 56 18790.756297
357 60 21 9325.248226
358 60 97 10541.171889
359 60 76 18000.289303
360 60 11 23403.349625
361 60 3 15818.590506
362 60 86 21401.949164
363 60 18 21614.010695
364 60 49 18979.797174
365 60 55 20654.123884
366 60 70 20796.431336
367 60 80 12649.77468
368 60 69 17157.291107
369 60 95 9327.384131
370 60 64 18149.399293
371 60 8 13616.284852
372 60 74 11051.423518
373 60 32 19559.535972
374 60 83 10430.75833
375 60 29 21031.961837
376 60 93 12141.417678
377 60 72 15275.431178
378 60 100 14569.462905
379 60 99 14149.745484
380 60 22 13866.127425
381 60 58 16297.024953
382 60 96 20497.062643
383 60 17 15356.78848
384 60 10 12801.450683
385 60 6 17194.088049
386 60 4 9455.971326
387 60 5 9099.849604
388 60 79 15026.9056
389 60 38 18655.392193
390 60 54 11734.733277
391 60 47 14413.362988
392 60 52 13614.441058
393 60 50 31227.568057
394 60 16 18656.777125
395 60 85 26693.810877
396 60 45 42512.352928
397 60 44 22130.234039
398 60 31 22582.587675
399 60 2 17899.732028
400 60 84 25602.023355
401 60 23 17423.571624
402 24 82 26130.416877
403 24 20 11752.153348
404 24 12 15120.864825
405 24 60 10540.324915
406 24 24 1737.48107
407 24 98 8085.824047
408 24 37 18841.677858
409 24 19 16439.322893
410 24 28 13361.183484
411 24 35 8151.959845
412 24 48 10732.024154
413 24 14 7044.494832
414 24 30 11074.719129
415 24 67 7147.14382
416 24 33 10313.106768
417 24 42 8671.106639
418 24 87 5844.439289
419 24 65 10354.646818
420 24 77 25544.71512
421 24 75 8518.059153
422 24 78 14439.099673
423 24 13 14468.880992
424 24 73 18776.172755
425 24 34 12864.233507
426 24 39 7092.800431
427 24 89 6913.148887
428 24 81 8905.385816
429 24 68 11670.072578
430 24 40 7550.661386
431 24 91 6825.998374
432 24 66 7745.902911
433 24 61 13864.855679
434 24 7 7588.551903
435 24 46 12009.021998
436 24 92 24432.941899
437 24 63 19879.081445
438 24 53 9042.130047
439 24 41 9234.973051
440 24 71 7497.354193
441 24 62 9478.723822
442 24 90 13580.16341
443 24 26 6331.701133
444 24 59 8519.628579
445 24 15 6891.680639
446 24 9 13708.634167
447 24 36 12742.766546
448 24 1 14995.119339
449 24 51 13620.033263
450 24 25 8050.819176
451 24 94 7682.517854
452 24 43 12472.936886
453 24 27 9858.563935
454 24 88 13880.879719
455 24 57 13674.801805
456 24 56 13678.611601
457 24 21 5844.528911
458 24 97 6819.556697
459 24 76 13007.441314
460 24 11 17652.517238
461 24 3 11161.829906
462 24 86 15919.959818
463 24 18 16102.174324
464 24 49 13847.21282
465 24 55 15280.079726
466 24 70 15411.662831
467 24 80 8533.974051
468 24 69 12284.82885
469 24 95 5845.899886
470 24 64 13129.069596
471 24 8 9325.541179
472 24 74 7226.377422
473 24 32 14347.554702
474 24 83 6725.820586
475 24 29 15607.290406
476 24 93 8115.388229
477 24 72 10710.329593
478 24 100 10125.710957
479 24 99 9774.987968
480 24 22 9533.779879
481 24 58 11578.144929
482 24 96 15136.973876
483 24 17 10770.196608
484 24 10 8659.205464
485 24 6 12334.863546
486 24 4 5949.916848
487 24 5 5671.278307
488 24 79 10497.167965
489 24 38 13560.653354
490 24 54 7780.284005
491 24 47 9983.934578
492 24 52 9313.703916
493 24 50 24527.37149
494 24 16 13563.842554
495 24 85 20528.536429
496 24 45 34624.202578
497 24 44 16551.448454
498 24 31 16942.031135
499 24 2 12921.486016
500 24 84 19569.695559
501 24 23 12515.308172
502 98 82 28563.411574
503 98 20 13426.620137
504 98 12 17016.892336
505 98 60 12096.385436
506 98 24 8085.824047
507 98 98 2409.726685
508 98 37 20915.782508
509 98 19 18402.349369
510 98 28 15147.701717
511 98 35 9551.654365
512 98 48 12321.318215
513 98 14 8363.067651
514 98 30 12696.345463
515 98 67 8445.718812
516 98 33 11879.900121
517 98 42 10133.777924
518 98 87 7047.044051
519 98 65 11921.994527
520 98 77 27976.385042
521 98 75 9944.915923
522 98 78 16284.747429
523 98 13 16307.886046
524 98 73 20840.781794
525 98 34 14608.538683
526 98 39 8390.202261
527 98 89 8197.339714
528 98 81 10355.611915
529 98 68 13328.835276
530 98 40 8893.828597
531 98 91 8099.624046
532 98 66 9100.346314
533 98 61 15669.852626
534 98 7 8929.569835
535 98 46 13693.682337
536 98 92 26785.874813
537 98 63 22009.16922
538 98 53 10489.027043
539 98 41 10715.688168
540 98 71 8830.534032
541 98 62 10979.72968
542 98 90 15360.248755
543 98 26 7562.326723
544 98 59 9934.884234
545 98 15 8171.867845
546 98 9 15497.833561
547 98 36 14464.865905
548 98 1 16852.113213
549 98 51 15398.365717
550 98 25 9431.912217
551 98 94 9027.07025
552 98 43 14172.74907
553 98 27 11379.296813
554 98 88 15677.685447
555 98 57 15446.054638
556 98 56 15474.058799
557 98 21 7034.441764
558 98 97 8100.597238
559 98 76 14747.38713
560 98 11 19678.32567
561 98 3 12774.255105
562 98 86 17835.67666
563 98 18 18023.600448
564 98 49 15637.792001
565 98 55 17152.774711
566 98 70 17303.583452
567 98 80 9958.635234
568 98 69 13972.47794
569 98 95 7031.76152
570 98 64 14864.81193
571 98 8 10801.277833
572 98 74 8535.092519
573 98 32 16168.418249
574 98 83 7990.156184
575 98 29 17505.201916
576 98 93 9495.045798
577 98 72 12292.161893
578 98 100 11663.315715
579 98 99 11286.791315
580 98 22 11025.52288
581 98 58 13226.826082
582 98 96 17007.296257
583 98 17 12352.149761
584 98 10 10089.078081
585 98 6 14026.706328
586 98 4 7143.460708
587 98 5 6838.815192
588 98 79 12061.567727
589 98 38 15334.783326
590 98 54 9139.829378
591 98 47 11518.534209
592 98 52 10788.818831
593 98 50 26876.639988
594 98 16 15324.904556
595 98 85 22681.647033
596 98 45 37387.60003
597 98 44 18499.302953
598 98 31 18897.853435
599 98 2 14641.084684
600 98 84 21675.046034
601 98 23 14209.164016
602 37 82 46818.763076
603 37 20 26607.355538
604 37 12 31574.262166
605 37 60 24774.08734
606 37 24 18841.677858
607 37 98 20915.782508
608 37 37 9293.690469
609 37 19 33477.34191
610 37 28 29009.700323
611 37 35 21023.107072
612 37 48 25059.090824
613 37 14 19223.697233
614 37 30 25581.659602
615 37 67 19383.720137
616 37 33 24420.50411
617 37 42 21847.43489
618 37 87 17197.148439
619 37 65 24483.025789
620 37 77 46036.414761
621 37 75 21621.633676
622 37 78 30584.804972
623 37 13 30614.443981
624 37 73 36778.242472
625 37 34 28263.259865
626 37 39 19302.514364
627 37 89 19010.546487
628 37 81 22227.423122
629 37 68 26488.559193
630 37 40 20059.991727
631 37 91 18865.710886
632 37 66 20377.473541
633 37 61 29742.140093
634 37 7 20120.462553
635 37 46 27002.181967
636 37 92 44550.565502
637 37 63 38306.309848
638 37 53 22442.638068
639 37 41 22738.831543
640 37 71 19968.366819
641 37 62 23135.096604
642 37 90 29328.152523
643 37 26 18028.839583
644 37 59 21617.084778
645 37 15 18971.419581
646 37 9 29509.798088
647 37 36 28087.586605
648 37 1 31389.050362
649 37 51 29375.313855
650 37 25 20869.578245
651 37 94 20264.155924
652 37 43 27691.107343
653 37 27 23719.876535
654 37 88 29770.174625
655 37 57 29459.444205
656 37 56 29477.851337
657 37 21 17211.733191
658 37 97 18848.232083
659 37 76 28487.258805
660 37 11 35195.193162
661 37 3 25720.183571
662 37 86 32717.441902
663 37 18 32982.325242
664 37 49 29723.327238
665 37 55 31803.627331
666 37 70 31978.237131
667 37 80 21634.625117
668 37 69 27420.3562
669 37 95 17211.213942
670 37 64 28664.78967
671 37 8 22887.741685
672 37 74 19526.647547
673 37 32 30434.675876
674 37 83 18697.738623
675 37 29 32272.396673
676 37 93 20965.981664
677 37 72 25028.814764
678 37 100 24124.573895
679 37 99 23583.039753
680 37 22 23213.273547
681 37 58 26343.101507
682 37 96 31606.708622
683 37 17 25126.067343
684 37 10 21830.971002
685 37 6 27472.91103
686 37 4 17383.975166
687 37 5 16903.632128
688 37 79 24700.203213
689 37 38 29306.125382
690 37 54 20425.535246
691 37 47 23914.184763
692 37 52 22877.541577
693 37 50 44653.337849
694 37 16 29296.893211
695 37 85 39196.798219
696 37 45 57956.74139
697 37 44 33623.791653
698 37 31 34172.952193
699 37 2 28349.813078
700 37 84 37863.262787
701 37 23 27749.397254
702 19 82 42986.662821
703 19 20 23759.28378
704 19 12 28470.262993
705 19 60 21991.624166
706 19 24 16439.322893
707 19 98 18402.349369
708 19 37 33477.34191
709 19 19 7640.547883
710 19 28 26022.640766
711 19 35 18499.072844
712 19 48 22278.756138
713 19 14 16826.639487
714 19 30 22791.853837
715 19 67 16948.579956
716 19 33 21682.124443
717 19 42 19294.122182
718 19 87 14931.777246
719 19 65 21741.178488
720 19 77 42255.649185
721 19 75 19059.43289
722 19 78 27521.246443
723 19 13 27532.047491
724 19 73 33384.747022
725 19 34 25318.605187
726 19 39 16879.254419
727 19 89 16604.332288
728 19 81 19625.641853
729 19 68 23636.154337
730 19 40 17587.817845
731 19 91 16470.772777
732 19 66 17890.307578
733 19 61 26726.049233
734 19 7 17640.68977
735 19 46 24123.991659
736 19 92 40810.730626
737 19 63 34837.883552
738 19 53 19812.957674
739 19 41 20111.401349
740 19 71 17495.266791
741 19 62 20471.790058
742 19 90 26334.278928
743 19 26 15689.911286
744 19 59 19042.861934
745 19 15 16571.18354
746 19 9 26503.672685
747 19 36 25146.604354
748 19 1 28260.375324
749 19 51 26361.347451
750 19 25 18345.86705
751 19 94 17770.396745
752 19 43 24755.734373
753 19 27 21028.961947
754 19 88 26743.993788
755 19 57 26435.612979
756 19 56 26486.350863
757 19 21 14936.73252
758 19 97 16464.328927
759 19 76 25522.970267
760 19 11 31911.114768
761 19 3 22910.272545
762 19 86 29532.579891
763 19 18 29778.581088
764 19 49 26691.877
765 19 55 28669.471785
766 19 70 28839.631245
767 19 80 19067.748912
768 19 69 24502.357026
769 19 95 14936.548123
770 19 64 25678.162075
771 19 8 20231.745889
772 19 74 17088.8105
773 19 32 27366.930856
774 19 83 16313.732295
775 19 29 29104.323205
776 19 93 18433.140299
777 19 72 22253.373153
778 19 100 21398.294065
779 19 99 20893.763433
780 19 22 20542.150026
781 19 58 23507.666097
782 19 96 28484.473742
783 19 17 22346.66046
784 19 10 19246.578718
785 19 6 24566.079596
786 19 4 15085.430927
787 19 5 14645.807827
788 19 79 21941.217859
789 19 38 26292.37578
790 19 54 17929.920926
791 19 47 21213.603263
792 19 52 20216.813582
793 19 50 40894.23348
794 19 16 26268.735858
795 19 85 35683.312208
796 19 45 53640.978078
797 19 44 30386.394583
798 19 31 30884.897255
799 19 2 25372.357459
800 19 84 34406.915953
801 19 23 24803.814859
802 28 82 37914.585738
803 28 20 20046.145034
804 28 12 24399.262182
805 28 60 18416.553725
806 28 24 13361.183484
807 28 98 15147.701717
808 28 37 29009.700323
809 28 19 26022.640766
810 28 28 5598.159599
811 28 35 15236.195734
812 28 48 18696.301802
813 28 14 13726.921505
814 28 30 19143.542459
815 28 67 13836.737485
816 28 33 18151.606714
817 28 42 15965.672875
818 28 87 12030.109449
819 28 65 18204.429585
820 28 77 37225.051531
821 28 75 15746.892125
822 28 78 23506.141526
823 28 13 23528.015756
824 28 73 28916.304744
825 28 34 21479.695685
826 28 39 13765.596547
827 28 89 13517.759266
828 28 81 16247.402587
829 28 68 19927.356871
830 28 40 14414.018209
831 28 91 13389.800264
832 28 66 14669.863429
833 28 61 22758.796477
834 28 7 14458.795537
835 28 46 20379.354226
836 28 92 35850.142638
837 28 63 30299.263773
838 28 53 16413.184261
839 28 41 16699.141838
840 28 71 14324.616187
841 28 62 17041.124516
842 28 90 22384.534371
843 28 26 12687.776062
844 28 59 15719.686905
845 28 15 13485.063032
846 28 9 22555.993595
847 28 36 21303.712118
848 28 1 24178.021133
849 28 51 22434.969633
850 28 25 15080.155816
851 28 94 14570.343469
852 28 43 20953.484541
853 28 27 17514.375564
854 28 88 22770.266456
855 28 57 22485.631685
856 28 56 22524.494754
857 28 21 12009.306424
858 28 97 13383.616885
859 28 76 21647.66486
860 28 11 27549.321953
861 28 3 19243.146718
862 28 86 25353.797513
863 28 18 25572.808154
864 28 49 22717.827372
865 28 55 24539.574682
866 28 70 24714.536211
867 28 80 15741.383877
868 28 69 20704.496304
869 28 95 11999.812414
870 28 64 21790.15534
871 28 8 16801.568699
872 28 74 13946.705659
873 28 32 23359.078943
874 28 83 13251.709736
875 28 29 24971.222575
876 28 93 15165.457971
877 28 72 18652.173784
878 28 100 17866.388951
879 28 99 17403.701509
880 28 22 17077.330332
881 28 58 19788.251107
882 28 96 24370.670003
883 28 17 18732.140866
884 28 10 15905.485411
885 28 6 20770.641234
886 28 4 12152.352097
887 28 5 11744.695904
888 28 79 18370.552722
889 28 38 22360.174112
890 28 54 14714.178797
891 28 47 17692.48212
892 28 52 16787.496512
893 28 50 35951.567835
894 28 16 22358.337576
895 28 85 31072.10258
896 28 45 47974.424508
897 28 44 26142.280833
898 28 31 26625.758956
899 28 2 21522.501657
900 28 84 29890.900694
901 28 23 21000.25479
902 35 82 28695.257544
903 35 20 13509.048435
904 35 12 17115.060835
905 35 60 12182.734514
906 35 24 8151.959845
907 35 98 9551.654365
908 35 37 21023.107072
909 35 19 18499.072844
910 35 28 15236.195734
911 35 35 2444.402791
912 35 48 12401.535882
913 35 14 8428.096304
914 35 30 12776.17208
915 35 67 8512.987487
916 35 33 11958.145399
917 35 42 10198.592633
918 35 87 7104.551817
919 35 65 12004.665796
920 35 77 28093.840275
921 35 75 10020.627521
922 35 78 16375.578544
923 35 13 16394.949749
924 35 73 20951.148008
925 35 34 14690.832371
926 35 39 8455.69735
927 35 89 8262.724339
928 35 81 10427.557626
929 35 68 13416.939991
930 35 40 8961.395661
931 35 91 8167.318001
932 35 66 9170.099671
933 35 61 15764.712972
934 35 7 8999.90131
935 35 46 13777.215992
936 35 92 26912.085581
937 35 63 22120.458838
938 35 53 10565.713035
939 35 41 10788.937228
940 35 71 8899.318612
941 35 62 11054.794744
942 35 90 15446.917389
943 35 26 7627.157392
944 35 59 10010.301072
945 35 15 8237.651571
946 35 9 15589.435963
947 35 36 14552.765052
948 35 1 16949.344833
949 35 51 15482.077477
950 35 25 9497.492882
951 35 94 9097.660634
952 35 43 14258.773968
953 35 27 11452.940053
954 35 88 15771.37092
955 35 57 15537.502811
956 35 56 15562.796411
957 35 21 7095.255755
958 35 97 8162.391446
959 35 76 14837.400544
960 35 11 19782.612861
961 35 3 12858.363673
962 35 86 17933.386651
963 35 18 18126.534549
964 35 49 15729.404953
965 35 55 17254.198132
966 35 70 17396.24464
967 35 80 10023.728003
968 35 69 14058.947242
969 35 95 7092.259646
970 35 64 14955.82951
971 35 8 10877.951822
972 35 74 8603.203952
973 35 32 16256.789491
974 35 83 8056.322118
975 35 29 17599.795701
976 35 93 9563.9574
977 35 72 12372.103643
978 35 100 11738.444835
979 35 99 11362.492621
980 35 22 11099.706863
981 35 58 13308.345776
982 35 96 17105.431737
983 35 17 12437.3082
984 35 10 10159.242316
985 35 6 14112.067236
986 35 4 7200.591465
987 35 5 6895.931184
988 35 79 12138.200565
989 35 38 15426.138535
990 35 54 9206.829526
991 35 47 11590.625742
992 35 52 10863.936759
993 35 50 26997.90198
994 35 16 15414.612031
995 35 85 22797.432719
996 35 45 37534.902447
997 35 44 18595.755933
998 35 31 19001.465902
999 35 2 14727.26776
1000 35 84 21781.094673
1001 35 23 14296.814411
1002 48 82 33380.837663
1003 48 20 16774.459136
1004 48 12 20759.538555
1005 48 60 15293.807952
1006 48 24 10732.024154
1007 48 98 12321.318215
1008 48 37 25059.090824
1009 48 19 22278.756138
1010 48 28 18696.301802
1011 48 35 12401.535882
1012 48 48 3936.198667
1013 48 14 11037.637544
1014 48 30 15950.250831
1015 48 67 11146.154278
1016 48 33 15041.437424
1017 48 42 13045.942872
1018 48 87 9519.26988
1019 48 65 15093.473161
1020 48 77 32720.934843
1021 48 75 12860.273504
1022 48 78 19951.332442
1023 48 13 19988.681037
1024 48 73 24980.273202
1025 48 34 18088.067811
1026 48 39 11080.780572
1027 48 89 10857.935232
1028 48 81 13323.754673
1029 48 68 16674.684184
1030 48 40 11658.919338
1031 48 91 10743.737549
1032 48 66 11892.781976
1033 48 61 19280.082812
1034 48 7 11703.286067
1035 48 46 17081.749103
1036 48 92 31443.557097
1037 48 63 26258.86165
1038 48 53 13473.788561
1039 48 41 13732.058475
1040 48 71 11588.291726
1041 48 62 14035.364031
1042 48 90 18929.559232
1043 48 26 10121.968215
1044 48 59 12844.776595
1045 48 15 10829.781456
1046 48 9 19084.155405
1047 48 36 17933.497551
1048 48 1 20589.748886
1049 48 51 18978.366165
1050 48 25 12267.759993
1051 48 94 11814.787369
1052 48 43 17617.750268
1053 48 27 14473.709892
1054 48 88 19289.843537
1055 48 57 19031.330225
1056 48 56 19047.250323
1057 48 21 9511.224104
1058 48 97 10739.741509
1059 48 76 18251.474426
1060 48 11 23698.770518
1061 48 3 16047.09357
1062 48 86 21672.859995
1063 48 18 21872.992211
1064 48 49 19245.567747
1065 48 55 20924.146255
1066 48 70 21086.823487
1067 48 80 12866.915787
1068 48 69 17390.672579
1069 48 95 9507.536751
1070 48 64 18394.283324
1071 48 8 13833.107369
1072 48 74 11248.278464
1073 48 32 19831.906676
1074 48 83 10628.402232
1075 48 29 21327.206491
1076 48 93 12350.959078
1077 48 72 15508.560655
1078 48 100 14805.647052
1079 48 99 14380.885401
1080 48 22 14081.033485
1081 48 58 16555.185064
1082 48 96 20762.381197
1083 48 17 15583.568944
1084 48 10 13017.471438
1085 48 6 17459.214065
1086 48 4 9641.854034
1087 48 5 9287.94392
1088 48 79 15254.735398
1089 48 38 18907.652892
1090 48 54 11936.166002
1091 48 47 14632.813245
1092 48 52 13814.775423
1093 48 50 31547.82456
1094 48 16 18911.85546
1095 48 85 26995.441595
1096 48 45 42881.098869
1097 48 44 22404.16315
1098 48 31 22859.456166
1099 48 2 18142.466311
1100 48 84 25892.061804
1101 48 23 17657.128457
1102 14 82 26581.746901
1103 14 20 12087.524854
1104 14 12 15511.730461
1105 14 60 10818.411704
1106 14 24 7044.494832
1107 14 98 8363.067651
1108 14 37 19223.697233
1109 14 19 16826.639487
1110 14 28 13726.921505
1111 14 35 8428.096304
1112 14 48 11037.637544
1113 14 14 1864.510116
1114 14 30 11390.621175
1115 14 67 7386.779439
1116 14 33 10619.27674
1117 14 42 8985.407694
1118 14 87 6093.120287
1119 14 65 10663.722926
1120 14 77 26015.100069
1121 14 75 8802.825738
1122 14 78 14804.706588
1123 14 13 14818.830669
1124 14 73 19148.190796
1125 14 34 13200.874402
1126 14 39 7334.695855
1127 14 89 7154.05287
1128 14 81 9178.886178
1129 14 68 11990.479318
1130 14 40 7807.939296
1131 14 91 7058.326761
1132 14 66 8003.612846
1133 14 61 14223.111497
1134 14 7 7837.789914
1135 14 46 12340.463576
1136 14 92 24861.179003
1137 14 63 20269.298945
1138 14 53 9296.270289
1139 14 41 9524.039518
1140 14 71 7744.38217
1141 14 62 9772.286815
1142 14 90 13915.098827
1143 14 26 6556.274372
1144 14 59 8778.553597
1145 14 15 7133.94242
1146 14 9 14045.579373
1147 14 36 13057.303296
1148 14 1 15330.358267
1149 14 51 13945.166503
1150 14 25 8300.122815
1151 14 94 7927.601198
