Herd1 Herd2 SumAsq
107 20 98 10460.625056142
108 20 37 20695.2267072834
109 20 19 18419.1649135264
110 20 28 15518.229418674
111 20 35 10477.9876475877
112 20 48 13056.9952048974
113 20 14 9365.7085648501
114 20 30 13350.7064501414
115 20 67 9522.79351290577
116 20 33 12614.6596980124
117 20 42 10976.2605432873
118 20 87 8124.76662713118
119 20 65 12695.8738103103
120 20 77 26734.4466685175
121 20 75 10874.4484287929
122 20 78 16575.8870506582
123 20 13 16606.2001350703
124 20 73 20563.7334006936
125 20 34 15096.3938164783
126 20 39 9416.12422765262
127 20 89 9267.44905844934
128 20 81 11282.1648750205
129 20 68 13986.7098618448
130 20 40 9925.40569309856
131 20 91 9196.45932393458
132 20 66 10092.5185690605
133 20 61 16038.6417301467
134 20 7 9994.65825847159
135 20 46 14253.7533185785
136 20 92 25737.5477091208
137 20 63 21658.7246608322
138 20 53 11406.8571728858
139 20 41 11594.8692040856
140 20 71 9926.01811648278
141 20 62 11838.1996393407
142 20 90 15750.1356874147
143 20 26 8697.28461825697
144 20 59 10839.1880143803
145 20 15 9223.48308830406
146 20 9 15864.2074687878
147 20 36 14970.1774388319
148 20 1 17139.3743201033
149 20 51 15821.5102894091
150 20 25 10475.5654689563
151 20 94 10058.0956114269
152 20 43 14713.6131905168
153 20 27 12189.8940757067
154 20 88 16047.3603691949
155 20 57 15897.8463420295
156 20 56 15962.3448728982
157 20 21 8206.8944907408
158 20 97 9189.54611955249
159 20 76 15209.8176811015
160 20 11 19631.7713856196
161 20 3 13494.800173022
162 20 86 18020.3413306098
163 20 18 18204.1096172991
164 20 49 15964.1365469194
165 20 55 17394.6329042583
166 20 70 17518.591088074
167 20 80 10885.6586986516
168 20 69 14617.0104688893
169 20 95 8200.34701425908
170 20 64 15416.4919993775
171 20 8 11735.4140294557
172 20 74 9584.76537623183
173 20 32 16486.9117386151
174 20 83 9086.49934206795
175 20 29 17733.027308417
176 20 93 10495.5275548594
177 20 72 12996.7039030112
178 20 100 12465.5329026135
179 20 99 12150.7384814609
180 20 22 11903.5435392699
181 20 58 13924.6153704975
182 20 96 17287.9464134491
183 20 17 13112.804678587
184 20 10 11014.2322300111
185 20 6 14580.3250405064
186 20 4 8306.85041777232
187 20 5 8023.99835315463
188 20 79 12825.8339848363
189 20 38 15852.1957943945
190 20 54 10162.0729820601
191 20 47 12329.8326473861
192 20 52 11714.6176526611
193 20 50 25874.8064784713
194 20 16 15827.9226152092
195 20 85 22329.9230923138
196 20 45 34946.2457872544
197 20 44 18583.1196127101
198 20 31 18990.6582533112
199 20 2 15132.1916037619
200 20 84 21384.0128892107
201 20 23 14765.7797747204
202 12 82 31497.4538591293
203 12 20 17157.5985678326
204 12 12 5257.07936115809
205 12 60 15898.1332940649
206 12 24 11711.0475611068
207 12 98 13183.4805799251
208 12 37 24459.3385511545
209 12 19 21988.5459247914
210 12 28 18822.4032610459
211 12 35 13211.2694781066
212 12 48 16075.9806238624
213 12 14 11960.9357361707
214 12 30 16408.4774718219
215 12 67 12132.0086952142
216 12 33 15599.3620970998
217 12 42 13767.9581620546
218 12 87 10552.6380858218
219 12 65 15696.9864309683
220 12 77 30975.1482375061
221 12 75 13656.6513624363
222 12 78 19965.8500178203
223 12 13 19989.5055754137
224 12 73 24316.2195026024
225 12 34 18326.0016704977
226 12 39 12008.4793760657
227 12 89 11841.9034544696
228 12 81 14098.0006065701
229 12 68 17107.5587126164
230 12 40 12591.9184114311
231 12 91 11748.3853424018
232 12 66 12770.0179773129
233 12 61 19367.9227449233
234 12 7 12663.8138767751
235 12 46 17407.6147908524
236 12 92 29907.9947288584
237 12 63 25505.1959119842
238 12 53 14238.5734399445
239 12 41 14442.7736918344
240 12 71 12569.5748190195
241 12 62 14730.8716338217
242 12 90 19052.8368566004
243 12 26 11183.2104571201
244 12 59 13606.0466246388
245 12 15 11793.4369587194
246 12 9 19172.6138518131
247 12 36 18185.8755849105
248 12 1 20561.3312659739
249 12 51 19116.8231155049
250 12 25 13187.8344995103
251 12 94 12727.5020423311
252 12 43 17898.9022751202
253 12 27 15108.095657742
254 12 88 19368.47136363
255 12 57 19208.3224299075
256 12 56 19275.7616208707
257 12 21 10629.1710715164
258 12 97 11746.7846076859
259 12 76 18447.4759202446
260 12 11 23294.7634121066
261 12 3 16558.4773295922
262 12 86 21525.3939119783
263 12 18 21720.0389569056
264 12 49 19287.0131969194
265 12 55 20854.2416717986
266 12 70 20971.5716479726
267 12 80 13645.2761110099
268 12 69 17795.4501887209
269 12 95 10621.845318482
270 12 64 18670.9714706112
271 12 8 14596.3403478825
272 12 74 12188.5866697251
273 12 32 19854.0314336641
274 12 83 11642.4079617332
275 12 29 21213.95571241
276 12 93 13208.6930053839
277 12 72 16004.3604211335
278 12 100 15410.8428674106
279 12 99 15058.8090299391
280 12 22 14797.176112785
281 12 58 17021.9079342343
282 12 96 20722.7016486101
283 12 17 16137.5837903349
284 12 10 13785.8644803077
285 12 6 17754.4017833064
286 12 4 10745.4601278339
287 12 5 10416.7355303651
288 12 79 15813.0355101958
289 12 38 19154.634800773
290 12 54 12843.818826322
291 12 47 15257.8302731434
292 12 52 14574.8176983959
293 12 50 30052.2441160465
294 12 16 19143.4510783698
295 12 85 26222.9198625601
296 12 45 39781.7502746056
297 12 44 22153.8486926986
298 12 31 22601.7157262789
299 12 2 18371.5934825716
300 12 84 25191.2944552131
301 12 23 17970.9599031916
302 60 82 25677.501338351
303 60 20 12892.6250785966
304 60 12 15898.1332940649
305 60 60 3052.35461666371
306 60 24 8293.18252549915
307 60 98 9481.34220071666
308 60 37 19394.1049631551
309 60 19 17133.0026559845
310 60 28 14327.2972981421
311 60 35 9511.40452816596
312 60 48 11976.8750291466
313 60 14 8427.59193816875
314 60 30 12257.277459779
315 60 67 8636.65759362921
316 60 33 11557.7590452409
317 60 42 9949.43901363881
318 60 87 7258.01324234526
319 60 65 11647.1182684161
320 60 77 25172.9788160997
321 60 75 9898.5577698862
322 60 78 15363.2476783823
323 60 13 15383.5665702307
324 60 73 19274.4706557498
325 60 34 13923.3897519727
326 60 39 8530.12714759979
327 60 89 8383.96979481097
328 60 81 10297.8610712767
329 60 68 12882.2152854405
330 60 40 9007.65634136201
331 60 91 8322.06617467126
332 60 66 9169.04933423326
333 60 61 14836.4969141489
334 60 7 9082.60519774846
335 60 46 13128.8514312985
336 60 92 24284.3036290771
337 60 63 20315.1174595443
338 60 53 10449.1161339736
339 60 41 10578.4117859208
340 60 71 9009.55924191727
341 60 62 10826.3189491751
342 60 90 14579.6679293163
343 60 26 7834.65816661762
344 60 59 9889.5007127133
345 60 15 8336.33127011691
346 60 9 14678.1236688702
347 60 36 13827.3270648086
348 60 1 15943.8312926311
349 60 51 14643.3127741698
350 60 25 9545.16160105401
351 60 94 9139.178527129
352 60 43 13604.6484623133
353 60 27 11180.4580343969
354 60 88 14867.2045877666
355 60 57 14752.5524847428
356 60 56 14775.343060939
357 60 21 7363.06039420822
358 60 97 8294.28773786413
359 60 76 14069.200182709
360 60 11 18315.887225151
361 60 3 12432.6180219935
362 60 86 16791.3143459614
363 60 18 16977.4975903073
364 60 49 14804.2708852627
365 60 55 16183.1514041591
366 60 70 16268.023259184
367 60 80 9915.51402971326
368 60 69 13525.0936133961
369 60 95 7364.97477124725
370 60 64 14304.0013526045
371 60 8 10755.1850692508
372 60 74 8687.55539693646
373 60 32 15303.3860333189
374 60 83 8221.27560972314
375 60 29 16493.4294759124
376 60 93 9552.68505213979
377 60 72 11948.6528850723
378 60 100 11439.5408922753
379 60 99 11132.4996414796
380 60 22 10919.351412864
381 60 58 12808.8657147731
382 60 96 16075.5887862044
383 60 17 12075.1714537033
384 60 10 10041.5257534992
385 60 6 13457.5461299163
386 60 4 7471.05007351615
387 60 5 7196.3920816391
388 60 79 11797.3970697878
389 60 38 14698.886355835
390 60 54 9235.29453304381
391 60 47 11312.5221853508
392 60 52 10752.9053674909
393 60 50 24433.1111596885
394 60 16 14700.8349111511
395 60 85 20988.1151647177
396 60 45 33303.3740634234
397 60 44 17348.2192172587
398 60 31 17768.5695090817
399 60 2 14040.2734036914
400 60 84 20071.589512717
401 60 23 13686.0432738204
402 24 82 20276.7759115357
403 24 20 9159.05508508971
404 24 12 11711.0475611068
405 24 60 8293.18252549915
406 24 24 1393.27002910117
407 24 98 6332.01243884707
408 24 37 14722.4001467331
409 24 19 12783.7609763931
410 24 28 10362.9683627527
411 24 35 6349.66159635202
412 24 48 8394.7804094403
413 24 14 5472.35361072511
414 24 30 8624.02741337956
415 24 67 5630.05440094537
416 24 33 8038.79678683861
417 24 42 6714.24729975508
418 24 87 4538.13145148362
419 24 65 8105.34721058164
420 24 77 19826.4510599365
421 24 75 6652.94637714653
422 24 78 11239.7183746747
423 24 13 11285.4424778393
424 24 73 14624.2936603971
425 24 34 10029.9394945814
426 24 39 5544.25189368379
427 24 89 5426.30754498372
428 24 81 6984.14364219101
429 24 68 9137.73970736193
430 24 40 5926.37289771016
431 24 91 5371.1083031471
432 24 66 6062.75551720658
433 24 61 10807.3318840004
434 24 7 5984.99305588275
435 24 46 9348.21419702069
436 24 92 19018.9836267825
437 24 63 15526.8208469331
438 24 53 7106.28713014934
439 24 41 7221.97442725689
440 24 71 5927.31386462704
441 24 62 7415.12323026665
442 24 90 10588.0406820156
443 24 26 4992.96159768132
444 24 59 6654.92591537844
445 24 15 5393.62805671484
446 24 9 10676.4080919033
447 24 36 9955.2882240956
448 24 1 11749.907086544
449 24 51 10650.6640272244
450 24 25 6364.79274807015
451 24 94 6047.93669135355
452 24 43 9750.16488928398
453 24 27 7720.5555951846
454 24 88 10828.3059781391
455 24 57 10737.2707277414
456 24 56 10742.4728004361
457 24 21 4611.71182916521
458 24 97 5362.03621697438
459 24 76 10143.9018546124
460 24 11 13791.4195982313
461 24 3 8760.30124945412
462 24 86 12471.7869507973
463 24 18 12631.3971863803
464 24 49 10777.9466711326
465 24 55 11955.5283173311
466 24 70 12043.7140305548
467 24 80 6678.538714217
468 24 69 9670.73614902326
469 24 95 4612.59142317792
470 24 64 10335.6815662467
471 24 8 7362.10357799341
472 24 74 5671.21059984716
473 24 32 11211.6530739081
474 24 83 5295.27028489173
475 24 29 12225.0078583109
476 24 93 6378.26049561136
477 24 72 8360.24448496772
478 24 100 7943.74942738558
479 24 99 7686.35909689338
480 24 22 7500.23602392747
481 24 58 9098.52726832353
482 24 96 11850.0220935798
483 24 17 8453.34018887481
484 24 10 6783.2819492864
485 24 6 9644.32855847781
486 24 4 4700.09081688733
487 24 5 4487.86253275697
488 24 79 8225.90360836602
489 24 38 10673.1674555364
490 24 54 6114.85373482742
491 24 47 7819.33456236688
492 24 52 7343.75037675391
493 24 50 19165.1896106646
494 24 16 10677.0883514431
495 24 85 16127.9947087591
496 24 45 27095.128020788
497 24 44 12956.5710502376
498 24 31 13318.3304263351
499 24 2 10118.5267000031
500 24 84 15320.8468798107
501 24 23 9814.77242402195
502 98 82 22133.9127451122
503 98 20 10460.625056142
504 98 12 13183.4805799251
505 98 60 9481.34220071666
506 98 24 6332.01243884707
507 98 98 1917.92073444207
508 98 37 16311.3505389144
509 98 19 14302.9729116834
510 98 28 11752.4769303193
511 98 35 7433.63106485291
512 98 48 9621.19331002292
513 98 14 6502.98891837377
514 98 30 9879.18340572954
515 98 67 6628.20931475603
516 98 33 9252.81044985542
517 98 42 7861.34838932032
518 98 87 5475.63411502288
519 98 65 9318.99688813523
520 98 77 21704.7300423165
521 98 75 7757.69085153982
522 98 78 12669.2073284461
523 98 13 12705.3049783132
524 98 73 16197.0370544421
525 98 34 11382.2881207044
526 98 39 6541.69417813847
527 98 89 6417.4344340325
528 98 81 8102.7476589477
529 98 68 10420.7408386657
530 98 40 6965.45217025089
531 98 91 6353.12201257705
532 98 66 7104.57374719943
533 98 61 12202.0469333006
534 98 7 7020.68246738355
535 98 46 10650.5281656442
536 98 92 20817.1206549755
537 98 63 17159.9946524595
538 98 53 8212.47496718648
539 98 41 8366.43446907481
540 98 71 6958.06809713619
541 98 62 8576.4772502257
542 98 90 11959.1584905858
543 98 26 5944.21010115371
544 98 59 7741.66840608592
545 98 15 6378.78912701344
546 98 9 12054.4655224432
547 98 36 11279.1121873236
548 98 1 13174.8922834987
549 98 51 12018.9053244697
550 98 25 7433.85295162768
551 98 94 7081.24898155775
552 98 43 11054.0539727355
553 98 27 8890.49539794449
554 98 88 12210.0905719331
555 98 57 12094.0638863313
556 98 56 12137.4021275778
557 98 21 5535.77510452723
558 98 97 6354.95505064932
559 98 76 11480.9167426972
560 98 11 15355.4766742065
561 98 3 9999.86234174056
562 98 86 13944.3912692888
563 98 18 14104.9136870538
564 98 49 12150.7149677603
565 98 55 13389.6272584037
566 98 70 13501.0410922792
567 98 80 7779.69796814711
568 98 69 10969.7051345508
569 98 95 5530.0846276875
570 98 64 11665.0892366964
571 98 8 8498.24943267339
572 98 74 6677.95656726569
573 98 32 12609.0039405041
574 98 83 6268.81198925423
575 98 29 13683.8243260831
576 98 93 7437.12982860231
577 98 72 9574.8187712653
578 98 100 9125.61988653445
579 98 99 8849.0293613319
580 98 22 8645.8946415568
581 98 58 10372.7613533784
582 98 96 13287.6336609525
583 98 17 9666.53903134711
584 98 10 7884.53765983868
585 98 6 10941.8702420998
586 98 4 5621.96322254038
587 98 5 5390.87168666032
588 98 79 9426.71982981128
589 98 38 12040.0927138755
590 98 54 7164.1842998614
591 98 47 9003.66782306172
592 98 52 8478.48035489412
593 98 50 20955.994686994
594 98 16 12024.4901916961
595 98 85 17773.9951392127
596 98 45 29188.4391997786
597 98 44 14450.0457722849
598 98 31 14808.4077879543
599 98 2 11431.3384089314
600 98 84 16929.1447420392
601 98 23 11108.8250213753
602 37 82 36321.6403306298
603 37 20 20695.2267072834
604 37 12 24459.3385511545
605 37 60 19394.1049631551
606 37 24 14722.4001467331
607 37 98 16311.3505389144
608 37 37 7312.04337618408
609 37 19 26016.8716981252
610 37 28 22497.5762108921
611 37 35 16340.7785915364
612 37 48 19535.733508449
613 37 14 14918.8280503084
614 37 30 19884.7152150084
615 37 67 15163.6243071009
616 37 33 18996.6167227704
617 37 42 16915.2771754513
618 37 87 13336.167455833
619 37 65 19094.6508236535
620 37 77 35723.0944346759
621 37 75 16846.9353375393
622 37 78 23775.1303659211
623 37 13 23820.5619260525
624 37 73 28616.2094800697
625 37 34 21986.4791565609
626 37 39 15037.2671996876
627 37 89 14851.1668676908
628 37 81 17357.1261044017
629 37 68 20670.9960125836
630 37 40 15673.2670497335
631 37 91 14759.1055924136
632 37 66 15894.3044710564
633 37 61 23137.5155420295
634 37 7 15767.0022432335
635 37 46 20994.369482777
636 37 92 34654.7180825798
637 37 63 29858.5402737684
638 37 53 17549.3405512813
639 37 41 17718.1145389033
640 37 71 15667.2668838385
641 37 62 18042.8706260245
642 37 90 22823.0382361331
643 37 26 14113.1656851843
644 37 59 16838.7797546446
645 37 15 14791.6795355369
646 37 9 22941.5167069706
647 37 36 21883.6550434959
648 37 1 24511.9160201254
649 37 51 22896.499964823
650 37 25 16380.9179049436
651 37 94 15853.8155339122
652 37 43 21587.6573122016
653 37 27 18509.24176678
654 37 88 23176.8365191886
655 37 57 23029.4875179539
656 37 56 23057.9160983503
657 37 21 13486.1989751143
658 37 97 14732.4742785004
659 37 76 22175.1263290852
660 37 11 27439.8638022938
661 37 3 20100.7759764888
662 37 86 25543.5668582758
663 37 18 25778.2697394602
664 37 49 23107.7545893954
665 37 55 24812.8583703426
666 37 70 24913.7263362092
667 37 80 16867.8047433824
668 37 69 21485.7797004623
669 37 95 13483.2323820782
670 37 64 22454.4392013989
671 37 8 17950.3993225126
672 37 74 15252.4923304276
673 37 32 23708.5971248333
674 37 83 14631.2334324994
675 37 29 25197.149828044
676 37 93 16390.3234448145
677 37 72 19488.1697403294
678 37 100 18839.9795424027
679 37 99 18443.9087222708
680 37 22 18164.3852843713
681 37 58 20601.5062299159
682 37 96 24677.3823450523
683 37 17 19638.770847564
684 37 10 17029.2661639624
685 37 6 21409.0536317744
686 37 4 13623.5803529897
687 37 5 13257.9239477452
688 37 79 19278.7875070968
689 37 38 22958.72690584
690 37 54 15965.353577135
691 37 47 18660.9091687766
692 37 52 17934.6552168737
693 37 50 34813.1780829195
694 37 16 22943.1632803051
695 37 85 30675.3079544821
696 37 45 45233.921159688
697 37 44 26242.1161939633
698 37 31 26746.0760116556
699 37 2 22121.3857647488
700 37 84 29551.8806662155
701 37 23 21675.7708772964
702 19 82 33240.5737985989
703 19 20 18419.1649135264
704 19 12 21988.5459247914
705 19 60 17133.0026559845
706 19 24 12783.7609763931
707 19 98 14302.9729116834
708 19 37 26016.8716981252
709 19 19 5981.34172786259
710 19 28 20106.7506992146
711 19 35 14323.2174979834
712 19 48 17296.0628479963
713 19 14 13014.3582110118
714 19 30 17656.8760154962
715 19 67 13199.4472191483
716 19 33 16797.7113476433
717 19 42 14895.6792795527
718 19 87 11535.67095745
719 19 65 16890.1849109489
720 19 77 32698.5852856496
721 19 75 14795.2931905746
722 19 78 21323.8345625649
723 19 13 21340.5998119555
724 19 73 25877.2672579568
725 19 34 19628.2908529702
726 19 39 13092.3793070752
727 19 89 12915.040652306
728 19 81 15269.8038821239
729 19 68 18378.1878216361
730 19 40 13685.4560707243
731 19 91 12832.2915351378
732 19 66 13899.8354172298
733 19 61 20726.4409158151
734 19 7 13766.9415609548
735 19 46 18687.6731349734
736 19 92 31640.4880661147
737 19 63 27056.0560455284
738 19 53 15425.8825082746
739 19 41 15616.0375858438
740 19 71 13669.4253046212
741 19 62 15901.3346209822
742 19 90 20430.7178817765
743 19 26 12231.3603970713
744 19 59 14768.4856118147
745 19 15 12865.2707174859
746 19 9 20538.5049715135
747 19 36 19520.6477402754
748 19 1 21983.5646801678
749 19 51 20471.8451574725
750 19 25 14345.8934595949
751 19 94 13839.9550869891
752 19 43 19215.959094789
753 19 27 16348.7907536918
754 19 88 20750.0900169664
755 19 57 20589.0400654302
756 19 56 20669.1688206722
757 19 21 11661.198453049
758 19 97 12823.7700725235
759 19 76 19792.3535288557
760 19 11 24813.5595418064
761 19 3 17841.2648574532
762 19 86 22978.6760353329
763 19 18 23192.1041402888
764 19 49 20671.5915768513
765 19 55 22293.8034196621
766 19 70 22396.591018874
767 19 80 14808.5870526713
768 19 69 19123.5164146565
769 19 95 11658.6741150941
770 19 64 20036.1013243762
771 19 8 15802.5213114987
772 19 74 13292.5139858025
773 19 32 21242.6055039207
774 19 83 12712.1721954242
775 19 29 22641.0604614643
776 19 93 14349.566761286
777 19 72 17255.6206474416
778 19 100 16642.236750087
779 19 99 16278.3005602302
780 19 22 16009.1876920143
781 19 58 18327.9115568429
782 19 96 22167.8450516538
783 19 17 17399.6616522013
784 19 10 14951.5715524937
785 19 6 19074.4270839558
786 19 4 11770.6994114918
787 19 5 11442.3162587279
788 19 79 17055.4579851376
789 19 38 20523.1337382464
790 19 54 13958.465908964
791 19 47 16495.3216928617
792 19 52 15777.9877671486
793 19 50 31767.2916615022
794 19 16 20485.3517200381
795 19 85 27828.07120018
796 19 45 41718.1936005383
797 19 44 23630.0073782068
798 19 31 24069.2457355709
799 19 2 19710.7113741967
800 19 84 26749.7012356957
801 19 23 19287.750946018
802 28 82 29266.3278699121
803 28 20 15518.229418674
804 28 12 18822.4032610459
805 28 60 14327.2972981421
806 28 24 10362.9683627527
807 28 98 11752.4769303193
808 28 37 22497.5762108921
809 28 19 20106.7506992146
810 28 28 4374.03611584208
811 28 35 11772.171179229
812 28 48 14503.2115462172
813 28 14 10596.0250522301
814 28 30 14795.9001530954
815 28 67 10764.2815519464
816 28 33 14049.6392901459
817 28 42 12302.8528637059
818 28 87 9280.81734454689
819 28 65 14132.7062994649
820 28 77 28751.0968847835
821 28 75 12204.4858310324
822 28 78 18182.8012448195
823 28 13 18217.8779175738
824 28 73 22357.4422053829
825 28 34 16629.2882447858
826 28 39 10652.8323943579
827 28 89 10493.4492310361
828 28 81 12611.4704220593
829 28 68 15472.6374949607
830 28 40 11201.7971002551
831 28 91 10407.3660139919
832 28 66 11366.5526811471
833 28 61 17609.9211731059
834 28 7 11270.6107859905
835 28 46 15762.591439818
836 28 92 27727.9233014405
837 28 63 23501.2692120317
838 28 53 12745.6661194947
839 28 41 12942.0873283344
840 28 71 11177.6766378434
841 28 62 13223.7499782321
842 28 90 17318.1419361727
843 28 26 9867.85564767374
844 28 59 12160.5800400901
845 28 15 10444.3639464146
846 28 9 17441.6077315871
847 28 36 16502.5943374486
848 28 1 18774.6575171067
849 28 51 17398.0795768101
850 28 25 11766.0837879797
851 28 94 11326.5936507741
852 28 43 16238.1898161118
853 28 27 13575.6402061658
854 28 88 17624.229188878
855 28 57 17476.9928793865
856 28 56 17536.6506011919
857 28 21 9352.99325313323
858 28 97 10398.2630796505
859 28 76 16748.3521298967
860 28 11 21373.6292626914
861 28 3 14951.3721306514
862 28 86 19691.6726803889
863 28 18 19874.4699518331
864 28 49 17545.8520674072
865 28 55 19034.1606013655
866 28 70 19156.8284359461
867 28 80 12194.9059457553
868 28 69 16127.32198487
869 28 95 9336.08152156328
870 28 64 16972.583417901
871 28 8 13100.1419832846
872 28 74 10820.2740211881
873 28 32 18101.839617788
874 28 83 10305.1655394079
875 28 29 19402.1760596109
876 28 93 11779.0649948237
877 28 72 14432.2397558276
878 28 100 13865.4347769374
879 28 99 13531.1064142249
880 28 22 13276.5453459213
881 28 58 15391.0359016024
882 28 96 18919.9833996613
883 28 17 14555.3565347463
884 28 10 12326.979662163
885 28 6 16093.6057709158
886 28 4 9466.94206129321
887 28 5 9150.83224777261
888 28 79 14255.6569092469
889 28 38 17426.1097829264
890 28 54 11432.2707281317
891 28 47 13723.5300663981
892 28 52 13077.1914624364
893 28 50 27884.9066071736
894 28 16 17425.3617837615
895 28 85 24194.8874620181
896 28 45 37279.7581526971
897 28 44 20289.9250328257
898 28 31 20731.64055541
899 28 2 16694.6515437117
900 28 84 23205.0593473495
901 28 23 16308.0594603717
902 35 82 22179.1462028115
903 35 20 10477.9876475877
904 35 12 13211.2694781066
905 35 60 9511.40452816596
906 35 24 6349.66159635202
907 35 98 7433.63106485291
908 35 37 16340.7785915364
909 35 19 14323.2174979834
910 35 28 11772.171179229
911 35 35 1924.97877109199
912 35 48 9640.22858743735
913 35 14 6516.06285620849
914 35 30 9895.66728617973
915 35 67 6645.82022453475
916 35 33 9270.42410606072
917 35 42 7865.12057572575
918 35 87 5484.02844439504
919 35 65 9343.82516281166
920 35 77 21728.1513538427
921 35 75 7780.18794358835
922 35 78 12688.2300907778
923 35 13 12719.1117663924
924 35 73 16232.3667826281
925 35 34 11394.7405484534
926 35 39 6555.76993693439
927 35 89 6432.98462355653
928 35 81 8117.71538217005
929 35 68 10448.6516357148
930 35 40 6980.49500909263
931 35 91 6372.57577582923
932 35 66 7122.40387059632
933 35 61 12230.148094335
934 35 7 7040.53317283537
935 35 46 10668.9226320562
936 35 92 20858.4229439613
937 35 63 17192.239128668
938 35 53 8234.25504040153
939 35 41 8381.37645187042
940 35 71 6976.06715308443
941 35 62 8592.91236670804
942 35 90 11975.7309906318
943 35 26 5962.61863074814
944 35 59 7764.02732484733
945 35 15 6395.15400929624
946 35 9 12078.4561869391
947 35 36 11301.9020734219
948 35 1 13203.2425047572
949 35 51 12031.0547820551
950 35 25 7443.00317264372
951 35 94 7101.20219528588
952 35 43 11074.2918167288
953 35 27 8903.42111495019
954 35 88 12236.9387069233
955 35 57 12118.9118683538
956 35 56 12156.946507718
957 35 21 5550.54360552186
958 35 97 6365.36400581834
959 35 76 11505.3983678917
960 35 11 15383.6777351562
961 35 3 10023.3058542475
962 35 86 13970.0045139406
963 35 18 14138.5627336242
964 35 49 12173.6676953456
965 35 55 13423.8948374382
966 35 70 13520.1268260141
967 35 80 7785.08149940244
968 35 69 10992.2771523651
969 35 95 5544.2877378549
970 35 64 11691.3571812035
971 35 8 8519.64582340479
972 35 74 6696.29602549867
973 35 32 12626.284406575
974 35 83 6286.94325146203
975 35 29 13705.6984750297
976 35 93 7451.67033884519
977 35 72 9593.43815384113
978 35 100 9140.05252410151
979 35 99 8866.16228069656
980 35 22 8661.84570359412
981 35 58 10391.361778265
982 35 96 13316.7705591283
983 35 17 9693.62665198761
984 35 10 7898.58074454048
985 35 6 10962.5430760931
986 35 4 5630.62182159698
987 35 5 5401.27334624894
988 35 79 9441.78831077753
989 35 38 12065.5466244326
990 35 54 7177.64356063564
991 35 47 9013.26462541328
992 35 52 8496.77717294088
993 35 50 20989.8425864089
994 35 16 12046.6735205783
995 35 85 17812.1378386112
996 35 45 29235.393053756
997 35 44 14471.0171328785
998 35 31 14840.558334297
999 35 2 11450.1800050969
1000 35 84 16954.7288654536
1001 35 23 11132.1319034305
1002 48 82 25877.9520326796
1003 48 20 13056.9952048974
